Student_ID,Major_Category,Year_of_Study,Pre_Semester_GPA,Weekly_GenAI_Hours,Primary_Use_Case,Prompt_Engineering_Skill,Tool_Diversity,Paid_Subscription,Traditional_Study_Hours,Perceived_AI_Dependency,Institutional_Policy,Anxiety_Level_During_Exams,Post_Semester_GPA,Skill_Retention_Score,Burnout_Risk_Level
100067,STEM,Graduate,3.329,6.73,Debugging/Troubleshooting,Intermediate,4,True,15.32,3,Allowed_With_Citation,2,3.702,80.75,Medium
100069,STEM,Sophomore,3.645,16.74,Direct_Answer_Generation,Advanced,3,True,6.48,4,Allowed_With_Citation,2,3.879,78.14,High
100072,STEM,Freshman,3.117,13.89,Copywriting/Drafting,Beginner,2,False,9.7,8,Allowed_With_Citation,6,3.326,45.39,Medium
100073,STEM,Graduate,3.251,9.97,Debugging/Troubleshooting,Advanced,3,False,6.39,3,Actively_Encouraged,5,3.687,80.79,Low
100078,STEM,Freshman,3.631,0.9,Debugging/Troubleshooting,Advanced,4,True,11.39,1,Allowed_With_Citation,2,3.969,85.55,Low
100080,STEM,Graduate,2.862,5.01,Summarizing_Reading,Beginner,3,True,14.7,2,Allowed_With_Citation,1,3.293,76.51,Medium
100084,STEM,Freshman,3.414,3.7,Debugging/Troubleshooting,Intermediate,4,False,17.94,2,Allowed_With_Citation,2,3.691,73.6,Medium
100091,STEM,Graduate,2.291,7.91,Debugging/Troubleshooting,Intermediate,5,False,14.46,3,Actively_Encouraged,6,2.75,55.09,Medium
100099,STEM,Freshman,2.016,28.71,Debugging/Troubleshooting,Advanced,5,True,5.64,6,Allowed_With_Citation,4,2.473,55.74,Medium
100100,STEM,Graduate,2.661,11.3,Direct_Answer_Generation,Advanced,3,False,11.04,6,Allowed_With_Citation,2,2.754,98.76,High
100101,STEM,Sophomore,3.612,25.83,Debugging/Troubleshooting,Intermediate,3,True,10.46,7,Allowed_With_Citation,6,3.715,62.3,High
100106,STEM,Senior,2.972,9.6,Debugging/Troubleshooting,Intermediate,3,True,8.86,3,Allowed_With_Citation,1,3.234,87.33,Medium
100109,STEM,Senior,2.926,0.43,Copywriting/Drafting,Intermediate,4,False,19.85,3,Allowed_With_Citation,1,3.321,94.36,Low
100110,STEM,Graduate,2.379,10.28,Ideation,Advanced,4,False,21.84,4,Allowed_With_Citation,2,3.09,96.15,Low
100111,STEM,Freshman,3.866,7.54,Debugging/Troubleshooting,Beginner,1,False,5.89,2,Strict_Ban,4,4.0,53.65,Low
100112,STEM,Freshman,3.203,12.06,Ideation,Beginner,3,True,10.76,6,Allowed_With_Citation,6,3.257,82.36,Medium
100118,STEM,Graduate,3.915,0.73,Debugging/Troubleshooting,Intermediate,2,False,14.34,1,Strict_Ban,6,4.0,62.09,Low
100124,STEM,Sophomore,3.856,3.16,Ideation,Advanced,3,True,6.88,5,Actively_Encouraged,6,4.0,93.35,Medium
100125,STEM,Sophomore,3.446,40.0,Summarizing_Reading,Intermediate,4,False,7.47,10,Actively_Encouraged,2,3.441,76.67,High
100129,STEM,Graduate,3.092,3.94,Debugging/Troubleshooting,Intermediate,4,False,13.31,3,Allowed_With_Citation,3,3.456,63.1,Medium
100132,STEM,Freshman,3.505,20.76,Ideation,Advanced,3,True,7.95,5,Allowed_With_Citation,4,4.0,84.53,Low
100133,STEM,Senior,3.724,9.69,Debugging/Troubleshooting,Beginner,3,False,13.35,5,Actively_Encouraged,5,3.897,73.28,Medium
100142,STEM,Junior,2.407,25.2,Debugging/Troubleshooting,Advanced,4,True,10.34,4,Allowed_With_Citation,4,2.794,69.1,High
100145,STEM,Junior,3.691,22.04,Summarizing_Reading,Intermediate,1,True,1.0,6,Allowed_With_Citation,9,3.877,72.99,Low
100146,STEM,Sophomore,2.425,9.16,Ideation,Advanced,3,False,18.86,5,Actively_Encouraged,4,2.992,90.32,High
100149,STEM,Sophomore,3.221,40.0,Debugging/Troubleshooting,Beginner,3,True,4.54,6,Allowed_With_Citation,5,3.347,57.02,High
100150,STEM,Freshman,3.641,35.18,Debugging/Troubleshooting,Advanced,4,True,7.77,8,Actively_Encouraged,6,3.84,51.53,High
100152,STEM,Sophomore,2.784,4.43,Copywriting/Drafting,Intermediate,5,True,17.4,4,Allowed_With_Citation,3,3.092,82.92,Low
100153,STEM,Junior,2.871,4.13,Summarizing_Reading,Advanced,4,False,10.31,1,Allowed_With_Citation,4,2.848,85.82,Medium
100156,STEM,Sophomore,3.441,1.35,Copywriting/Drafting,Advanced,3,False,20.18,3,Actively_Encouraged,4,3.745,72.69,Medium
100159,STEM,Sophomore,2.148,10.2,Direct_Answer_Generation,Beginner,2,True,6.81,4,Strict_Ban,4,2.536,81.38,High
100165,STEM,Graduate,2.309,27.25,Debugging/Troubleshooting,Beginner,3,True,12.13,6,Allowed_With_Citation,5,2.606,70.82,High
100168,STEM,Senior,2.258,2.67,Debugging/Troubleshooting,Intermediate,1,False,6.45,3,Allowed_With_Citation,1,2.326,82.16,Low
100169,STEM,Junior,2.086,4.31,Debugging/Troubleshooting,Intermediate,2,False,5.11,2,Strict_Ban,5,2.38,51.4,Medium
100172,STEM,Sophomore,3.3,2.54,Ideation,Intermediate,1,False,9.31,4,Allowed_With_Citation,7,3.386,80.69,Medium
100174,STEM,Freshman,3.478,9.82,Copywriting/Drafting,Beginner,2,False,1.21,3,Allowed_With_Citation,6,3.476,41.99,Low
100176,STEM,Sophomore,3.174,2.13,Debugging/Troubleshooting,Beginner,2,False,18.79,5,Actively_Encouraged,8,3.084,69.25,High
100180,STEM,Junior,2.866,2.7,Debugging/Troubleshooting,Advanced,5,False,10.94,2,Actively_Encouraged,2,3.515,66.28,Low
100182,STEM,Junior,3.676,3.1,Debugging/Troubleshooting,Beginner,1,True,17.08,4,Strict_Ban,1,3.814,57.65,Low
100185,STEM,Freshman,3.022,37.66,Copywriting/Drafting,Intermediate,3,True,7.47,6,Allowed_With_Citation,7,3.26,55.99,Medium
100190,STEM,Sophomore,3.414,1.7,Copywriting/Drafting,Intermediate,4,False,10.47,3,Allowed_With_Citation,8,3.882,89.38,Low
100191,STEM,Sophomore,3.05,3.49,Summarizing_Reading,Intermediate,2,False,3.56,2,Actively_Encouraged,1,2.981,92.74,Low
100202,STEM,Sophomore,2.773,1.76,Summarizing_Reading,Advanced,3,True,18.52,2,Actively_Encouraged,2,3.061,68.03,Low
100203,STEM,Freshman,3.548,0.87,Debugging/Troubleshooting,Intermediate,5,True,12.01,4,Strict_Ban,7,3.673,72.33,Medium
100206,STEM,Freshman,3.219,8.15,Debugging/Troubleshooting,Intermediate,3,True,17.99,4,Actively_Encouraged,6,3.384,62.0,Medium
100207,STEM,Senior,3.819,0.81,Debugging/Troubleshooting,Beginner,2,True,12.11,4,Actively_Encouraged,5,4.0,88.92,Medium
100209,STEM,Senior,3.742,1.59,Direct_Answer_Generation,Beginner,2,True,20.06,4,Actively_Encouraged,6,4.0,57.99,Medium
100210,STEM,Junior,2.358,6.03,Summarizing_Reading,Advanced,4,True,10.87,2,Allowed_With_Citation,7,2.525,73.66,Medium
100214,STEM,Graduate,3.741,4.25,Direct_Answer_Generation,Beginner,2,True,1.29,4,Allowed_With_Citation,7,3.903,89.03,Medium
100216,STEM,Freshman,3.098,1.91,Debugging/Troubleshooting,Intermediate,2,True,3.43,4,Allowed_With_Citation,6,2.936,62.17,Low
100223,STEM,Senior,3.062,21.42,Summarizing_Reading,Advanced,4,False,10.64,3,Strict_Ban,4,3.035,63.98,High
100225,STEM,Senior,3.565,4.6,Ideation,Beginner,3,False,20.32,3,Allowed_With_Citation,5,3.834,76.92,Medium
100226,STEM,Sophomore,3.337,3.82,Copywriting/Drafting,Beginner,3,True,10.28,1,Actively_Encouraged,1,3.378,90.81,Medium
100235,STEM,Sophomore,3.319,8.17,Direct_Answer_Generation,Advanced,3,False,16.89,3,Allowed_With_Citation,5,3.641,88.9,High
100237,STEM,Freshman,3.291,8.76,Copywriting/Drafting,Intermediate,3,True,16.54,2,Strict_Ban,3,3.644,100.0,Medium
100238,STEM,Junior,3.857,3.97,Direct_Answer_Generation,Advanced,4,False,23.89,1,Allowed_With_Citation,4,4.0,100.0,Medium
100240,STEM,Freshman,3.381,7.75,Debugging/Troubleshooting,Beginner,1,False,14.91,3,Allowed_With_Citation,4,3.474,74.92,Medium
100245,STEM,Senior,3.589,22.12,Ideation,Intermediate,2,False,10.25,7,Allowed_With_Citation,10,3.635,97.9,Medium
100251,STEM,Graduate,3.016,12.75,Ideation,Advanced,3,True,21.44,6,Allowed_With_Citation,3,3.507,82.28,High
100255,STEM,Sophomore,2.069,25.73,Copywriting/Drafting,Beginner,2,False,19.14,7,Allowed_With_Citation,6,2.314,59.48,High
100260,STEM,Freshman,2.637,0.74,Debugging/Troubleshooting,Advanced,3,True,14.56,2,Allowed_With_Citation,3,3.132,84.55,Medium
100263,STEM,Sophomore,3.825,18.43,Debugging/Troubleshooting,Intermediate,3,True,7.11,3,Actively_Encouraged,3,4.0,87.29,Low
100270,STEM,Graduate,2.579,0.86,Ideation,Beginner,1,True,8.9,1,Actively_Encouraged,1,2.888,80.34,Low
100284,STEM,Graduate,2.235,21.44,Debugging/Troubleshooting,Intermediate,3,True,10.15,4,Strict_Ban,8,2.594,80.69,High
100286,STEM,Graduate,3.112,11.33,Direct_Answer_Generation,Intermediate,2,False,3.98,4,Actively_Encouraged,6,3.159,71.73,High
100289,STEM,Senior,3.497,4.77,Direct_Answer_Generation,Advanced,3,False,13.94,2,Actively_Encouraged,4,3.63,97.52,Medium
100291,STEM,Graduate,3.389,8.49,Debugging/Troubleshooting,Intermediate,2,True,12.85,3,Allowed_With_Citation,3,3.48,89.74,High
100292,STEM,Senior,2.857,29.02,Summarizing_Reading,Intermediate,1,False,12.57,6,Allowed_With_Citation,6,3.225,52.64,Medium
100295,STEM,Graduate,2.784,4.2,Debugging/Troubleshooting,Intermediate,3,False,15.22,5,Allowed_With_Citation,6,3.066,66.18,High
100298,STEM,Graduate,2.788,18.58,Direct_Answer_Generation,Advanced,3,False,1.6,6,Allowed_With_Citation,7,3.016,77.43,High
100300,STEM,Junior,2.37,0.12,Debugging/Troubleshooting,Intermediate,3,False,17.41,5,Strict_Ban,8,2.714,84.97,Low
100301,STEM,Freshman,3.399,13.25,Copywriting/Drafting,Intermediate,3,False,1.0,6,Allowed_With_Citation,4,3.501,67.93,Medium
100310,STEM,Senior,2.75,3.31,Debugging/Troubleshooting,Beginner,3,True,13.96,4,Allowed_With_Citation,3,2.685,91.55,Low
100312,STEM,Sophomore,3.695,11.05,Debugging/Troubleshooting,Intermediate,1,False,17.08,4,Allowed_With_Citation,5,4.0,84.26,Medium
100313,STEM,Senior,2.391,0.28,Debugging/Troubleshooting,Beginner,2,False,12.76,2,Allowed_With_Citation,5,2.564,86.21,Low
100318,STEM,Freshman,2.808,4.48,Debugging/Troubleshooting,Advanced,4,False,19.21,2,Strict_Ban,6,3.352,83.04,Low
100319,STEM,Sophomore,2.338,4.23,Direct_Answer_Generation,Intermediate,1,False,14.77,4,Allowed_With_Citation,4,2.779,60.3,Medium
100320,STEM,Freshman,2.831,40.0,Debugging/Troubleshooting,Intermediate,1,False,11.65,7,Allowed_With_Citation,9,3.204,86.64,High
100324,STEM,Freshman,2.048,7.49,Debugging/Troubleshooting,Intermediate,2,False,4.84,2,Allowed_With_Citation,4,1.816,90.08,High
100330,STEM,Junior,3.468,8.89,Direct_Answer_Generation,Intermediate,2,False,17.69,5,Allowed_With_Citation,3,3.729,63.13,Low
100333,STEM,Sophomore,2.572,0.65,Debugging/Troubleshooting,Intermediate,3,False,8.76,5,Actively_Encouraged,6,2.633,94.02,Medium
100334,STEM,Senior,3.8,40.0,Debugging/Troubleshooting,Advanced,4,True,5.04,8,Allowed_With_Citation,7,4.0,70.75,High
100335,STEM,Freshman,3.308,1.88,Summarizing_Reading,Intermediate,4,True,7.27,5,Strict_Ban,3,3.28,64.13,Medium
100336,STEM,Junior,3.004,13.65,Debugging/Troubleshooting,Advanced,3,True,18.37,4,Actively_Encouraged,2,3.601,80.65,Medium
100340,STEM,Graduate,2.315,15.4,Copywriting/Drafting,Beginner,2,True,5.34,4,Allowed_With_Citation,5,2.428,55.3,Low
100343,STEM,Freshman,2.733,23.54,Copywriting/Drafting,Advanced,5,True,17.26,8,Strict_Ban,9,3.019,62.68,High
100348,STEM,Freshman,3.52,1.13,Copywriting/Drafting,Advanced,5,True,7.89,3,Allowed_With_Citation,6,3.621,86.97,Low
100354,STEM,Graduate,2.915,9.77,Debugging/Troubleshooting,Beginner,1,True,7.0,3,Allowed_With_Citation,4,3.175,97.22,High
100355,STEM,Junior,2.456,3.84,Copywriting/Drafting,Beginner,1,False,16.09,1,Actively_Encouraged,1,2.594,58.42,Low
100357,STEM,Sophomore,2.879,32.69,Debugging/Troubleshooting,Beginner,2,True,13.2,9,Allowed_With_Citation,4,2.836,67.28,Medium
100369,STEM,Sophomore,3.479,5.67,Debugging/Troubleshooting,Beginner,3,True,13.46,4,Allowed_With_Citation,5,3.687,75.45,High
100370,STEM,Junior,3.219,7.67,Debugging/Troubleshooting,Advanced,4,True,1.0,6,Strict_Ban,4,3.576,69.86,High
100371,STEM,Sophomore,3.678,2.72,Direct_Answer_Generation,Advanced,4,False,13.99,2,Strict_Ban,3,3.759,89.21,Low
100372,STEM,Graduate,3.832,0.68,Debugging/Troubleshooting,Beginner,1,False,14.35,1,Allowed_With_Citation,3,4.0,90.72,Low
100373,STEM,Graduate,3.199,1.85,Debugging/Troubleshooting,Advanced,4,True,6.68,1,Actively_Encouraged,2,3.603,83.61,Medium
100375,STEM,Senior,2.337,7.19,Debugging/Troubleshooting,Advanced,3,False,18.91,4,Actively_Encouraged,1,2.768,100.0,High
100378,STEM,Senior,3.451,2.87,Debugging/Troubleshooting,Advanced,4,False,8.02,2,Strict_Ban,4,3.608,85.8,Low
100380,STEM,Freshman,2.808,7.85,Debugging/Troubleshooting,Intermediate,5,True,8.17,5,Allowed_With_Citation,5,2.854,61.94,Medium
100381,STEM,Junior,2.24,33.26,Debugging/Troubleshooting,Intermediate,1,False,13.58,7,Allowed_With_Citation,4,2.454,65.19,High
100387,STEM,Freshman,3.577,4.82,Direct_Answer_Generation,Intermediate,4,True,14.43,2,Actively_Encouraged,4,3.993,89.82,Low
100388,STEM,Graduate,3.282,12.15,Direct_Answer_Generation,Intermediate,1,True,17.22,3,Strict_Ban,3,3.598,83.47,Medium
100401,STEM,Senior,2.962,5.6,Summarizing_Reading,Advanced,3,False,13.31,1,Allowed_With_Citation,2,3.313,93.75,Low
100408,STEM,Junior,3.548,21.32,Debugging/Troubleshooting,Advanced,4,False,14.03,6,Actively_Encouraged,4,3.984,71.44,High
100410,STEM,Junior,2.036,30.41,Debugging/Troubleshooting,Advanced,3,True,16.22,5,Actively_Encouraged,4,2.749,65.48,High
100417,STEM,Junior,3.072,27.04,Summarizing_Reading,Beginner,2,True,6.97,4,Strict_Ban,5,3.431,56.31,High
100423,STEM,Junior,3.536,9.4,Copywriting/Drafting,Advanced,5,False,7.76,6,Allowed_With_Citation,6,3.908,83.95,Medium
100425,STEM,Senior,2.7,6.48,Copywriting/Drafting,Beginner,2,False,9.4,3,Allowed_With_Citation,4,2.982,77.84,Low
100430,STEM,Graduate,2.587,10.91,Ideation,Beginner,1,False,16.21,3,Strict_Ban,5,2.634,56.47,High
100431,STEM,Junior,3.615,10.74,Ideation,Advanced,4,True,11.84,4,Allowed_With_Citation,5,4.0,72.92,Medium
100434,STEM,Freshman,3.123,0.52,Ideation,Intermediate,3,False,7.77,3,Allowed_With_Citation,1,3.003,83.55,Low
100435,STEM,Freshman,3.547,19.83,Summarizing_Reading,Intermediate,3,True,4.36,4,Strict_Ban,6,3.473,89.44,High
100437,STEM,Freshman,3.222,14.46,Debugging/Troubleshooting,Advanced,3,False,11.37,2,Allowed_With_Citation,3,3.435,100.0,Medium
100440,STEM,Graduate,3.767,6.21,Copywriting/Drafting,Advanced,4,False,18.78,2,Allowed_With_Citation,1,4.0,50.8,High
100441,STEM,Senior,2.601,32.96,Ideation,Advanced,3,True,21.07,6,Strict_Ban,7,3.043,67.04,High
100450,STEM,Freshman,3.525,1.13,Debugging/Troubleshooting,Intermediate,1,True,20.22,4,Actively_Encouraged,6,3.833,93.09,Medium
100455,STEM,Graduate,3.211,6.08,Ideation,Advanced,4,False,15.85,1,Allowed_With_Citation,7,3.604,87.71,High
100457,STEM,Senior,3.705,17.5,Copywriting/Drafting,Intermediate,4,True,7.27,6,Strict_Ban,8,3.646,94.39,High
100459,STEM,Junior,3.269,19.65,Copywriting/Drafting,Intermediate,3,True,2.98,5,Strict_Ban,10,3.448,66.22,High
100460,STEM,Senior,2.641,4.45,Debugging/Troubleshooting,Beginner,3,False,14.69,2,Actively_Encouraged,1,2.826,98.41,High
100461,STEM,Senior,3.377,40.0,Copywriting/Drafting,Advanced,3,True,6.17,7,Allowed_With_Citation,3,3.736,92.03,High
100467,STEM,Senior,2.792,11.98,Debugging/Troubleshooting,Intermediate,1,False,17.23,5,Strict_Ban,6,2.94,75.15,Medium
100469,STEM,Graduate,2.343,18.38,Debugging/Troubleshooting,Beginner,3,True,13.86,6,Allowed_With_Citation,3,2.321,80.7,High
100471,STEM,Senior,2.874,23.26,Ideation,Beginner,1,True,17.67,6,Allowed_With_Citation,4,3.375,84.04,High
100473,STEM,Junior,3.751,2.1,Debugging/Troubleshooting,Beginner,2,True,11.26,2,Allowed_With_Citation,6,3.902,93.14,Low
100477,STEM,Junior,3.476,3.15,Debugging/Troubleshooting,Intermediate,2,False,11.22,3,Actively_Encouraged,1,3.746,78.48,Low
100487,STEM,Senior,2.411,9.2,Ideation,Beginner,1,True,20.59,3,Actively_Encouraged,4,2.576,68.24,Medium
100488,STEM,Sophomore,3.084,0.3,Copywriting/Drafting,Advanced,5,False,3.16,2,Strict_Ban,3,2.995,63.43,Medium
100493,STEM,Sophomore,2.988,31.2,Direct_Answer_Generation,Intermediate,3,True,4.52,8,Allowed_With_Citation,6,2.539,38.81,High
100494,STEM,Senior,3.647,10.68,Debugging/Troubleshooting,Beginner,3,False,10.0,1,Allowed_With_Citation,6,3.713,88.14,Medium
100498,STEM,Freshman,3.827,5.12,Debugging/Troubleshooting,Beginner,3,False,8.46,1,Strict_Ban,8,3.829,80.94,Low
100506,STEM,Graduate,3.464,27.97,Debugging/Troubleshooting,Intermediate,3,True,10.89,7,Actively_Encouraged,4,3.793,60.72,High
100515,STEM,Freshman,2.515,6.87,Ideation,Intermediate,3,False,9.15,5,Strict_Ban,1,2.519,77.48,Medium
100516,STEM,Sophomore,3.373,4.76,Direct_Answer_Generation,Intermediate,3,False,12.74,1,Actively_Encouraged,3,3.48,77.69,Low
100520,STEM,Graduate,3.105,6.97,Summarizing_Reading,Intermediate,1,True,9.0,4,Actively_Encouraged,6,3.284,77.51,High
100528,STEM,Graduate,2.417,3.16,Debugging/Troubleshooting,Beginner,2,False,11.76,5,Actively_Encouraged,3,2.421,79.57,High
100529,STEM,Senior,2.819,24.32,Debugging/Troubleshooting,Intermediate,1,True,10.44,5,Actively_Encouraged,5,2.917,63.29,High
100538,STEM,Sophomore,3.572,2.68,Debugging/Troubleshooting,Intermediate,2,True,20.05,3,Allowed_With_Citation,6,3.878,71.0,Low
100540,STEM,Junior,3.6,16.98,Direct_Answer_Generation,Intermediate,2,False,8.43,5,Actively_Encouraged,4,3.548,75.96,Medium
100543,STEM,Graduate,3.228,5.02,Debugging/Troubleshooting,Advanced,3,False,14.34,2,Allowed_With_Citation,2,3.911,94.55,Medium
100547,STEM,Sophomore,3.128,4.78,Ideation,Intermediate,4,False,10.22,5,Allowed_With_Citation,2,3.155,64.51,Medium
100557,STEM,Senior,2.741,40.0,Debugging/Troubleshooting,Beginner,3,True,12.49,10,Allowed_With_Citation,8,3.095,70.23,High
100558,STEM,Freshman,2.399,1.6,Copywriting/Drafting,Intermediate,2,False,19.36,3,Allowed_With_Citation,4,2.458,81.56,Medium
100562,STEM,Sophomore,3.176,11.31,Direct_Answer_Generation,Intermediate,1,True,17.12,3,Allowed_With_Citation,2,3.627,76.2,Medium
100563,STEM,Freshman,2.926,6.68,Direct_Answer_Generation,Beginner,2,False,9.26,5,Allowed_With_Citation,6,3.193,77.36,Low
100564,STEM,Sophomore,2.758,9.96,Debugging/Troubleshooting,Advanced,3,True,10.82,3,Allowed_With_Citation,3,3.341,78.94,High
100577,STEM,Sophomore,2.423,33.38,Debugging/Troubleshooting,Beginner,2,True,15.5,9,Strict_Ban,10,2.853,71.0,High
100580,STEM,Freshman,2.694,9.82,Copywriting/Drafting,Advanced,3,True,19.53,3,Allowed_With_Citation,4,3.067,61.9,Medium
100586,STEM,Junior,2.873,13.52,Debugging/Troubleshooting,Intermediate,2,True,7.0,3,Actively_Encouraged,6,2.993,76.08,High
100587,STEM,Junior,3.832,29.44,Direct_Answer_Generation,Intermediate,1,False,17.4,8,Actively_Encouraged,10,3.795,58.92,High
100588,STEM,Graduate,3.451,1.03,Ideation,Advanced,5,True,9.23,3,Allowed_With_Citation,6,3.761,75.29,Low
100589,STEM,Junior,3.494,12.67,Debugging/Troubleshooting,Intermediate,2,False,12.66,3,Strict_Ban,6,3.706,86.72,Medium
100590,STEM,Senior,2.03,11.69,Copywriting/Drafting,Advanced,5,False,9.37,3,Actively_Encouraged,6,2.379,73.28,Low
100591,STEM,Freshman,2.498,3.32,Debugging/Troubleshooting,Intermediate,3,True,12.91,4,Actively_Encouraged,5,2.58,76.11,Low
100593,STEM,Senior,3.524,5.92,Debugging/Troubleshooting,Intermediate,1,True,10.59,4,Allowed_With_Citation,3,3.96,75.25,Low
100598,STEM,Senior,2.671,2.41,Summarizing_Reading,Beginner,2,True,1.97,2,Strict_Ban,2,2.702,69.78,High
100599,STEM,Senior,3.757,20.74,Direct_Answer_Generation,Advanced,4,True,15.23,4,Strict_Ban,5,3.698,83.05,High
100600,STEM,Graduate,2.093,13.45,Debugging/Troubleshooting,Advanced,3,True,9.51,1,Strict_Ban,8,2.267,85.72,High
100601,STEM,Graduate,3.7,40.0,Debugging/Troubleshooting,Intermediate,2,True,3.79,9,Strict_Ban,10,3.756,55.5,High
100602,STEM,Senior,2.781,1.27,Debugging/Troubleshooting,Beginner,1,False,12.11,3,Strict_Ban,1,2.918,71.72,Low
100603,STEM,Graduate,2.768,2.13,Ideation,Beginner,1,False,8.13,4,Strict_Ban,3,2.795,62.96,Medium
100604,STEM,Freshman,3.193,3.81,Debugging/Troubleshooting,Beginner,2,False,9.18,1,Actively_Encouraged,1,3.109,50.36,Medium
100605,STEM,Sophomore,3.431,3.77,Debugging/Troubleshooting,Beginner,2,True,13.24,4,Allowed_With_Citation,3,3.489,71.15,Medium
100607,STEM,Sophomore,3.69,28.42,Debugging/Troubleshooting,Intermediate,3,True,7.43,4,Allowed_With_Citation,1,3.706,50.9,High
100611,STEM,Senior,3.662,3.39,Debugging/Troubleshooting,Advanced,5,False,18.95,1,Actively_Encouraged,5,4.0,100.0,Low
100614,STEM,Senior,2.936,28.52,Summarizing_Reading,Intermediate,3,True,8.86,6,Allowed_With_Citation,3,2.951,64.83,High
100617,STEM,Freshman,3.114,37.28,Debugging/Troubleshooting,Advanced,3,False,7.62,8,Allowed_With_Citation,6,3.329,80.04,High
100618,STEM,Graduate,2.614,15.05,Copywriting/Drafting,Advanced,3,True,15.55,7,Allowed_With_Citation,3,2.977,73.05,High
100621,STEM,Graduate,2.88,9.33,Summarizing_Reading,Intermediate,4,False,12.03,2,Allowed_With_Citation,4,2.903,60.21,Medium
100622,STEM,Junior,3.268,0.83,Debugging/Troubleshooting,Advanced,3,False,25.92,2,Actively_Encouraged,3,3.888,100.0,Low
100629,STEM,Graduate,2.717,0.7,Summarizing_Reading,Intermediate,5,False,21.5,1,Actively_Encouraged,4,2.83,79.71,Low
100630,STEM,Graduate,3.894,1.08,Debugging/Troubleshooting,Beginner,2,True,10.1,1,Allowed_With_Citation,6,4.0,57.64,Medium
