,Post_Semester_GPA_bracket,Pre_Semester_GPA_bracket,Skill_Retention_Score,Weekly_hours_bracket,GPA_diff,Year_of_Study
92,2-3,2-3,68.77,0-5,-0.5779999999999998,Senior
93,3-4,2-3,74.32,10-15,-0.10899999999999999,Senior
94,3-4,3-4,76.16,20-25,-0.07099999999999973,Freshman
95,3-4,3-4,59.56,05-10,0.395,Senior
96,2-3,2-3,71.8,0-5,-0.9660000000000002,Freshman
97,2-3,2-3,66.73,0-5,-0.7010000000000001,Graduate
98,2-3,2-3,55.74,25-30,-0.9020000000000001,Freshman
99,2-3,2-3,98.76,10-15,0.18800000000000017,Graduate
100,3-4,3-4,62.3,25-30,0.8580000000000001,Sophomore
101,1-2,2-3,55.12,05-10,-1.677,Freshman
102,3-4,3-4,56.37,0-5,1.844,Graduate
103,3-4,3-4,85.52,0-5,-0.7959999999999998,Freshman
104,2-3,2-3,63.93,05-10,-1.2719999999999998,Junior
105,3-4,2-3,87.33,05-10,0.665,Senior
106,2-3,2-3,84.71,05-10,-0.5059999999999998,Sophomore
107,2-3,2-3,72.83,0-5,-0.7360000000000002,Junior
108,3-4,2-3,94.36,0-5,0.4580000000000002,Senior
109,3-4,2-3,96.15,10-15,-0.9420000000000002,Graduate
110,3-4,3-4,53.65,05-10,0.7760000000000002,Freshman
111,3-4,3-4,82.36,10-15,-0.7970000000000002,Freshman
112,3-4,3-4,85.42,05-10,0.24399999999999977,Junior
113,3-4,3-4,66.09,0-5,-0.6880000000000002,Sophomore
114,3-4,3-4,83.06,0-5,0.6079999999999997,Sophomore
115,3-4,3-4,78.83,0-5,-0.758,Sophomore
116,3-4,2-3,61.45,05-10,-0.8599999999999999,Junior
117,3-4,3-4,62.09,0-5,0.702,Graduate
118,2-3,2-3,62.97,25-30,-1.33,Freshman
119,2-3,2-3,69.58,0-5,-0.528,Freshman
120,2-3,1-2,63.51,0-5,-0.3720000000000001,Senior
121,3-4,3-4,69.49,0-5,1.3739999999999997,Freshman
122,3-4,3-4,88.85,15-20,-0.30600000000000005,Senior
123,3-4,3-4,93.35,0-5,-0.14400000000000013,Sophomore
124,3-4,3-4,76.67,35-40,-0.5539999999999998,Sophomore
125,3-4,3-4,86.56,15-20,-0.355,Sophomore
126,2-3,2-3,96.82,05-10,-0.6760000000000002,Sophomore
127,3-4,3-4,76.58,20-25,1.3130000000000002,Senior
128,3-4,3-4,63.1,0-5,-0.9079999999999999,Graduate
129,3-4,3-4,96.33,05-10,0.08099999999999996,Junior
130,3-4,3-4,48.73,0-5,-0.43800000000000017,Junior
131,3-4,3-4,84.53,20-25,0.359,Freshman
132,3-4,3-4,73.28,05-10,-0.2759999999999998,Senior
133,3-4,3-4,67.16,15-20,-0.48099999999999987,Junior
134,2-3,2-3,67.06,05-10,-1.319,Freshman
135,2-3,2-3,56.59,05-10,0.1160000000000001,Freshman
136,3-4,3-4,77.45,10-15,0.379,Freshman
137,3-4,2-3,82.77,0-5,-0.7230000000000003,Freshman
138,3-4,3-4,59.74,0-5,0.569,Senior
139,3-4,3-4,64.37,0-5,-0.488,Graduate
140,2-3,2-3,79.7,20-25,-0.9409999999999998,Senior
141,2-3,2-3,69.1,25-30,-0.2669999999999999,Junior
142,3-4,3-4,78.81,10-15,0.6360000000000001,Sophomore
143,3-4,3-4,76.77,15-20,0.027000000000000135,Sophomore
144,3-4,3-4,72.99,20-25,0.04599999999999982,Junior
145,2-3,2-3,90.32,05-10,-1.452,Sophomore
146,3-4,3-4,79.98,25-30,0.0950000000000002,Sophomore
147,2-3,2-3,76.11,05-10,-0.996,Junior
148,3-4,3-4,57.02,35-40,0.9079999999999999,Sophomore
149,3-4,3-4,51.53,35-40,0.29400000000000004,Freshman
150,3-4,3-4,100.0,20-25,0.010000000000000231,Freshman
151,3-4,2-3,82.92,0-5,-1.2160000000000002,Sophomore
152,2-3,2-3,85.82,0-5,-0.22100000000000009,Junior
153,3-4,3-4,88.31,0-5,0.6699999999999999,Sophomore
154,3-4,3-4,48.59,0-5,-0.06700000000000017,Freshman
155,3-4,3-4,72.69,0-5,-0.41000000000000014,Sophomore
156,2-3,2-3,73.34,05-10,-1.4220000000000002,Freshman
157,3-4,3-4,71.38,0-5,0.496,Graduate
158,2-3,2-3,81.38,10-15,-1.339,Sophomore
159,3-4,3-4,77.34,0-5,0.9550000000000001,Freshman
160,3-4,3-4,66.33,0-5,-0.17499999999999982,Senior
161,3-4,3-4,76.08,05-10,-0.4820000000000002,Sophomore
162,3-4,3-4,81.7,0-5,-0.21300000000000008,Junior
163,3-4,3-4,80.89,0-5,-0.16300000000000026,Freshman
164,2-3,2-3,70.82,25-30,-1.5959999999999996,Graduate
165,3-4,3-4,66.16,05-10,0.7590000000000003,Graduate
166,3-4,3-4,81.93,0-5,-0.028999999999999915,Senior
167,2-3,2-3,82.16,0-5,-1.5510000000000002,Senior
168,2-3,2-3,51.4,0-5,-0.2400000000000002,Junior
169,2-3,2-3,83.54,05-10,-0.04899999999999993,Graduate
170,2-3,1-2,82.74,0-5,-0.7559999999999998,Junior
171,3-4,3-4,80.69,0-5,1.299,Sophomore
172,2-3,2-3,71.53,0-5,-0.762,Freshman
173,3-4,3-4,41.99,05-10,0.7410000000000001,Freshman
174,2-3,2-3,65.19,10-15,-1.355,Junior
175,3-4,3-4,69.25,0-5,0.9100000000000001,Sophomore
176,3-4,3-4,87.34,15-20,0.2650000000000001,Senior
177,2-3,2-3,73.45,0-5,-0.8809999999999998,Sophomore
178,3-4,3-4,59.54,0-5,0.8250000000000002,Graduate
179,3-4,2-3,66.28,0-5,-1.0949999999999998,Junior
180,2-3,2-3,82.23,25-30,-1.3860000000000001,Junior
181,3-4,3-4,57.65,0-5,1.3920000000000003,Junior
182,3-4,3-4,90.63,0-5,-0.371,Graduate
183,3-4,3-4,64.58,0-5,-0.5100000000000002,Freshman
184,3-4,3-4,55.99,35-40,-0.391,Freshman
185,3-4,3-4,90.27,0-5,0.17000000000000037,Senior
186,3-4,2-3,61.83,0-5,-1.1750000000000003,Senior
187,3-4,3-4,55.3,0-5,0.29400000000000004,Junior
188,3-4,3-4,62.61,0-5,-0.16400000000000015,Sophomore
189,3-4,3-4,89.38,0-5,-0.17799999999999994,Sophomore
190,2-3,3-4,92.74,0-5,-0.8320000000000003,Sophomore
191,3-4,3-4,96.43,0-5,0.6870000000000003,Graduate
192,3-4,3-4,100.0,0-5,-0.718,Sophomore
193,3-4,3-4,95.01,05-10,-0.3660000000000001,Senior
194,2-3,2-3,72.68,0-5,-1.629,Senior
195,3-4,3-4,87.3,0-5,1.3520000000000003,Freshman
196,3-4,3-4,55.28,05-10,-0.08899999999999997,Freshman
197,2-3,2-3,76.6,0-5,-0.9810000000000003,Sophomore
198,1-2,1-2,58.58,05-10,-1.2299999999999998,Senior
199,3-4,2-3,87.08,10-15,1.014,Sophomore
200,3-4,3-4,53.77,15-20,0.30200000000000005,Freshman
201,3-4,2-3,68.03,0-5,-0.9409999999999998,Sophomore
202,3-4,3-4,72.33,0-5,0.4870000000000001,Freshman
203,2-3,2-3,73.12,10-15,-1.62,Freshman
204,3-4,3-4,64.84,20-25,1.185,Sophomore
205,3-4,3-4,62.0,05-10,-0.605,Freshman
206,3-4,3-4,88.92,0-5,0.43500000000000005,Senior
207,3-4,3-4,88.19,05-10,-0.8340000000000001,Sophomore
208,3-4,3-4,57.99,0-5,0.31800000000000006,Senior
209,2-3,2-3,73.66,05-10,-1.642,Junior
210,3-4,3-4,85.19,05-10,0.6539999999999999,Graduate
211,3-4,3-4,60.04,15-20,-0.07799999999999985,Freshman
212,2-3,2-3,92.54,05-10,-1.181,Freshman
213,3-4,3-4,89.03,0-5,1.088,Graduate
214,3-4,3-4,77.85,05-10,-0.08800000000000008,Senior
215,2-3,3-4,62.17,0-5,-0.9020000000000001,Freshman
216,2-3,2-3,77.19,0-5,-0.10299999999999976,Freshman
217,3-4,3-4,98.6,05-10,0.5710000000000002,Graduate
218,2-3,2-3,86.1,0-5,-1.3159999999999998,Freshman
219,3-4,3-4,67.65,0-5,0.3240000000000003,Graduate
220,3-4,3-4,79.2,20-25,-0.10599999999999987,Graduate
221,3-4,3-4,75.24,0-5,-0.23100000000000032,Sophomore
222,3-4,3-4,63.98,20-25,-0.5060000000000002,Senior
223,3-4,3-4,70.08,10-15,0.005999999999999783,Junior
224,3-4,3-4,76.92,0-5,0.4159999999999999,Senior
225,3-4,3-4,90.81,0-5,-0.4969999999999999,Sophomore
226,1-2,1-2,49.12,05-10,-1.4500000000000002,Freshman
227,3-4,3-4,59.27,15-20,1.359,Senior
228,3-4,3-4,80.69,0-5,-0.18700000000000028,Freshman
229,3-4,2-3,65.87,05-10,-0.8759999999999999,Graduate
230,3-4,3-4,81.36,0-5,0.258,Sophomore
231,3-4,3-4,72.15,0-5,0.007000000000000117,Freshman
232,3-4,3-4,61.21,05-10,0.19499999999999984,Sophomore
233,3-4,3-4,89.33,0-5,-0.0009999999999998899,Graduate
234,3-4,3-4,88.9,05-10,-0.681,Sophomore
235,3-4,3-4,81.38,0-5,-0.508,Graduate
236,3-4,3-4,100.0,05-10,0.08199999999999985,Freshman
237,3-4,3-4,100.0,0-5,0.21300000000000008,Junior
238,3-4,3-4,78.96,15-20,-0.649,Graduate
239,3-4,3-4,74.92,05-10,-0.24200000000000044,Freshman
240,3-4,3-4,82.38,05-10,0.08099999999999996,Sophomore
241,3-4,3-4,86.02,05-10,-0.004999999999999893,Graduate
242,3-4,3-4,73.95,0-5,-0.4370000000000003,Junior
243,2-3,2-3,87.34,0-5,-0.831,Senior
244,3-4,3-4,97.9,20-25,0.5960000000000001,Senior
245,2-3,2-3,64.94,15-20,-0.8249999999999997,Junior
246,3-4,3-4,72.68,05-10,1.137,Senior
247,2-3,2-3,100.0,10-15,-1.4330000000000003,Junior
248,3-4,3-4,78.11,05-10,0.9260000000000002,Senior
249,3-4,3-4,67.41,05-10,-0.19700000000000006,Freshman
250,3-4,3-4,82.28,10-15,-0.7869999999999999,Graduate
251,3-4,3-4,83.47,05-10,-0.17500000000000027,Senior
252,2-3,2-3,71.83,0-5,-1.072,Sophomore
253,3-4,3-4,64.07,10-15,1.3610000000000002,Junior
254,2-3,2-3,59.48,25-30,-1.931,Sophomore
255,3-4,2-3,63.11,05-10,0.42399999999999993,Senior
256,3-4,3-4,81.63,0-5,0.06099999999999994,Graduate
257,3-4,3-4,89.41,0-5,-0.2200000000000002,Freshman
258,2-3,2-3,76.43,05-10,-1.259,Graduate
259,3-4,2-3,84.55,0-5,0.08099999999999996,Freshman
260,3-4,3-4,87.79,20-25,0.1120000000000001,Junior
261,3-4,3-4,71.93,05-10,-0.14500000000000002,Junior
262,3-4,3-4,87.29,15-20,-0.054999999999999716,Sophomore
263,3-4,3-4,68.48,20-25,-0.9500000000000002,Junior
264,3-4,2-3,82.2,0-5,-0.34399999999999986,Senior
265,3-4,3-4,89.83,10-15,0.0820000000000003,Sophomore
266,2-3,2-3,65.63,10-15,-0.4580000000000002,Freshman
267,3-4,3-4,89.24,20-25,0.35199999999999987,Junior
268,3-4,3-4,69.07,0-5,-0.0950000000000002,Senior
269,2-3,2-3,80.34,0-5,-1.2689999999999997,Graduate
270,3-4,2-3,79.72,05-10,0.1030000000000002,Freshman
271,2-3,2-3,73.16,0-5,-0.5249999999999999,Graduate
272,3-4,3-4,62.9,0-5,0.621,Junior
273,2-3,2-3,53.56,20-25,-1.056,Sophomore
274,3-4,3-4,100.0,0-5,0.851,Graduate
275,3-4,3-4,72.34,05-10,-0.43100000000000005,Sophomore
276,3-4,3-4,68.24,0-5,-0.33599999999999985,Senior
277,3-4,3-4,62.69,10-15,-0.03200000000000003,Senior
278,3-4,3-4,66.31,0-5,-0.7909999999999999,Junior
279,3-4,3-4,93.98,0-5,0.010000000000000231,Senior
280,3-4,3-4,96.43,05-10,0.43000000000000016,Junior
281,3-4,3-4,72.7,05-10,-0.16000000000000014,Freshman
282,3-4,2-3,92.27,05-10,-1.1360000000000001,Senior
283,2-3,2-3,80.69,20-25,-1.0,Graduate
284,3-4,3-4,80.71,0-5,0.4450000000000003,Junior
285,3-4,3-4,71.73,10-15,0.04499999999999993,Graduate
286,3-4,3-4,77.08,0-5,-0.0029999999999996696,Junior
287,2-3,2-3,86.59,10-15,-0.8899999999999997,Junior
288,3-4,3-4,97.52,0-5,0.5859999999999999,Senior
289,2-3,2-3,76.75,0-5,-1.0019999999999998,Freshman
290,3-4,3-4,89.74,05-10,0.7909999999999999,Graduate
291,3-4,2-3,52.64,25-30,-0.6229999999999998,Senior
292,2-3,2-3,52.09,15-20,-0.6590000000000003,Graduate
293,3-4,3-4,69.49,05-10,0.9250000000000003,Junior
294,3-4,2-3,66.18,0-5,-1.2160000000000002,Graduate
295,3-4,3-4,100.0,20-25,0.25900000000000034,Senior
296,3-4,3-4,71.89,10-15,-0.20500000000000007,Junior
297,3-4,2-3,77.43,15-20,-0.907,Graduate
298,3-4,3-4,100.0,0-5,-0.008000000000000007,Junior
299,2-3,2-3,84.97,0-5,-1.13,Junior
300,3-4,3-4,67.93,10-15,0.685,Freshman
301,2-3,2-3,73.9,0-5,-0.6319999999999997,Graduate
302,3-4,3-4,40.0,25-30,0.24299999999999988,Sophomore
303,2-3,3-4,55.25,05-10,-0.20100000000000007,Freshman
304,2-3,2-3,85.51,35-40,-0.29400000000000004,Freshman
305,2-3,2-3,79.28,0-5,-0.28700000000000037,Junior
306,3-4,3-4,68.95,0-5,0.9169999999999998,Sophomore
307,2-3,2-3,74.44,05-10,-0.859,Senior
308,3-4,3-4,64.43,0-5,0.02499999999999991,Sophomore
309,2-3,2-3,91.55,0-5,-0.3540000000000001,Senior
310,3-4,2-3,97.27,05-10,0.121,Freshman
311,3-4,3-4,84.26,10-15,0.403,Sophomore
312,2-3,2-3,86.21,0-5,-1.609,Senior
313,3-4,3-4,68.26,0-5,1.2309999999999999,Sophomore
314,3-4,3-4,100.0,05-10,-0.9329999999999998,Freshman
315,3-4,3-4,88.9,0-5,0.24400000000000022,Graduate
316,3-4,3-4,95.56,15-20,-0.8380000000000001,Freshman
317,3-4,2-3,83.04,0-5,-0.6240000000000001,Freshman
318,2-3,2-3,60.3,0-5,-1.0139999999999998,Sophomore
319,3-4,2-3,86.64,35-40,0.052000000000000046,Freshman
320,2-3,2-3,76.14,0-5,-0.4900000000000002,Freshman
321,3-4,3-4,85.46,05-10,0.41700000000000026,Senior
322,3-4,3-4,51.93,0-5,-0.6579999999999999,Freshman
323,1-2,2-3,90.08,05-10,-1.254,Freshman
324,3-4,3-4,83.84,0-5,1.598,Graduate
325,3-4,2-3,82.62,0-5,-1.0050000000000003,Junior
326,3-4,3-4,69.04,15-20,0.09799999999999986,Freshman
327,2-3,2-3,60.24,0-5,-0.6379999999999999,Junior
328,3-4,3-4,73.04,05-10,0.32699999999999996,Freshman
329,3-4,3-4,63.13,05-10,0.29000000000000004,Junior
330,3-4,3-4,71.23,0-5,0.03799999999999981,Junior
331,2-3,2-3,69.16,25-30,-1.634,Graduate
332,2-3,2-3,94.02,0-5,-0.1379999999999999,Sophomore
333,3-4,3-4,70.75,35-40,1.1669999999999998,Senior
334,3-4,3-4,64.13,0-5,-0.6920000000000002,Freshman
335,3-4,3-4,80.65,10-15,-0.2759999999999998,Junior
336,3-4,3-4,73.74,0-5,-0.45500000000000007,Sophomore
337,3-4,3-4,65.5,05-10,0.1280000000000001,Junior
338,3-4,2-3,98.6,0-5,-0.677,Sophomore
339,2-3,2-3,55.3,15-20,-0.8940000000000001,Graduate
340,3-4,3-4,71.19,0-5,1.2970000000000002,Graduate
341,3-4,2-3,76.66,0-5,-1.2149999999999999,Junior
342,3-4,2-3,62.68,20-25,-0.32099999999999973,Freshman
343,3-4,3-4,84.84,05-10,0.8340000000000001,Junior
344,3-4,3-4,82.42,15-20,-0.552,Senior
345,3-4,3-4,73.52,30-35,-0.34999999999999964,Freshman
346,2-3,2-3,67.17,0-5,-0.399,Junior
347,3-4,3-4,86.97,0-5,0.6219999999999999,Freshman
348,3-4,3-4,45.42,0-5,-0.391,Sophomore
349,3-4,3-4,73.79,05-10,0.47699999999999987,Freshman
350,3-4,3-4,87.1,0-5,-0.589,Graduate
351,3-4,3-4,66.01,0-5,-0.07100000000000017,Freshman
352,3-4,3-4,82.29,05-10,-0.5860000000000003,Freshman
353,3-4,2-3,97.22,05-10,-0.1629999999999998,Graduate
354,2-3,2-3,58.42,0-5,-0.7189999999999999,Junior
355,2-3,2-3,100.0,05-10,0.2360000000000002,Senior
356,2-3,2-3,67.28,30-35,-0.05699999999999994,Sophomore
357,3-4,3-4,79.42,0-5,0.5800000000000001,Junior
358,3-4,3-4,66.26,10-15,-0.7250000000000001,Freshman
359,3-4,3-4,80.8,25-30,-0.1080000000000001,Sophomore
360,3-4,3-4,76.52,20-25,-0.13600000000000012,Junior
361,3-4,3-4,100.0,0-5,0.1629999999999998,Junior
362,2-3,2-3,54.32,05-10,-1.0779999999999998,Sophomore
363,3-4,2-3,71.27,35-40,-0.038000000000000256,Senior
364,3-4,3-4,75.27,05-10,0.33299999999999974,Junior
365,3-4,3-4,79.8,0-5,0.10299999999999976,Junior
366,2-3,2-3,75.01,0-5,-1.499,Freshman
367,3-4,3-4,84.58,10-15,0.8179999999999996,Graduate
368,3-4,3-4,75.45,05-10,-0.29499999999999993,Sophomore
369,3-4,3-4,69.86,05-10,-0.46799999999999997,Junior
370,3-4,3-4,89.21,0-5,0.10199999999999987,Sophomore
371,3-4,3-4,90.72,0-5,0.07299999999999995,Graduate
372,3-4,3-4,83.61,0-5,-0.8010000000000002,Graduate
373,3-4,3-4,61.82,20-25,0.20399999999999974,Sophomore
374,2-3,2-3,100.0,05-10,-1.6629999999999998,Senior
375,3-4,3-4,63.22,10-15,0.5340000000000003,Freshman
376,3-4,3-4,76.39,15-20,-0.03600000000000003,Freshman
377,3-4,3-4,85.8,0-5,0.11900000000000022,Senior
378,2-3,2-3,68.26,0-5,-0.8860000000000001,Freshman
379,2-3,2-3,61.94,05-10,0.10399999999999965,Freshman
380,2-3,2-3,65.19,30-35,-0.6139999999999999,Junior
381,3-4,3-4,91.91,0-5,1.1549999999999998,Senior
382,3-4,2-3,82.15,0-5,-1.0630000000000002,Freshman
383,2-3,2-3,65.38,10-15,-0.8819999999999997,Freshman
384,2-3,2-3,70.62,10-15,0.5419999999999998,Freshman
385,3-4,3-4,74.85,0-5,0.3460000000000001,Freshman
386,3-4,3-4,89.82,0-5,0.2789999999999999,Freshman
387,3-4,3-4,83.47,10-15,-0.7109999999999999,Graduate
388,3-4,3-4,72.23,0-5,-0.4630000000000001,Freshman
389,3-4,3-4,63.96,05-10,-0.13100000000000023,Junior
390,2-3,2-3,86.1,05-10,-0.8930000000000002,Graduate
391,3-4,3-4,100.0,0-5,0.968,Junior
392,3-4,3-4,85.0,05-10,-0.4079999999999999,Freshman
393,3-4,3-4,50.58,0-5,-0.3380000000000001,Junior
394,3-4,3-4,82.27,0-5,-0.09699999999999998,Graduate
395,3-4,3-4,80.63,10-15,-0.17999999999999972,Sophomore
396,3-4,3-4,87.89,05-10,0.46799999999999997,Sophomore
397,3-4,3-4,60.34,30-35,-0.5379999999999998,Sophomore
398,2-3,2-3,77.62,20-25,-1.496,Junior
399,2-3,2-3,56.25,10-15,0.4370000000000003,Sophomore
400,3-4,2-3,93.75,05-10,-0.03699999999999992,Senior
401,3-4,3-4,92.49,10-15,0.06899999999999995,Senior
402,2-3,2-3,45.37,20-25,-1.0820000000000003,Sophomore
403,3-4,3-4,80.62,10-15,0.524,Senior
404,2-3,2-3,54.93,0-5,-1.6199999999999997,Freshman
405,2-3,2-3,84.58,05-10,-0.15500000000000025,Senior
406,3-4,3-4,53.56,0-5,0.7719999999999998,Junior
407,3-4,3-4,71.44,20-25,-0.10999999999999988,Junior
408,3-4,3-4,95.15,0-5,-0.1459999999999999,Freshman
409,2-3,2-3,65.48,30-35,-1.843,Junior
410,3-4,2-3,60.14,0-5,0.02499999999999991,Junior
411,3-4,3-4,64.69,0-5,0.03399999999999981,Junior
412,3-4,3-4,100.0,0-5,-0.254,Sophomore
413,3-4,3-4,74.39,20-25,0.4089999999999998,Freshman
414,3-4,3-4,76.53,35-40,-0.46099999999999985,Junior
415,3-4,3-4,75.59,0-5,-0.6070000000000002,Sophomore
416,3-4,3-4,56.31,25-30,-0.20500000000000007,Junior
417,3-4,3-4,65.01,10-15,-0.10400000000000009,Junior
418,2-3,2-3,50.93,10-15,-0.8250000000000002,Sophomore
419,3-4,3-4,59.91,0-5,0.242,Sophomore
420,3-4,3-4,74.13,05-10,0.19299999999999962,Junior
421,3-4,3-4,95.15,05-10,-0.395,Junior
422,3-4,3-4,83.95,05-10,-0.36499999999999977,Junior
423,3-4,3-4,49.36,20-25,-0.6999999999999997,Graduate
424,2-3,2-3,77.84,05-10,-0.609,Senior
425,3-4,3-4,67.96,0-5,0.718,Freshman
426,2-3,2-3,67.0,0-5,-1.307,Junior
427,3-4,3-4,50.45,20-25,0.6189999999999998,Sophomore
428,3-4,3-4,54.9,0-5,-0.020999999999999908,Sophomore
429,2-3,2-3,56.47,10-15,-0.9119999999999999,Graduate
430,3-4,3-4,72.92,10-15,0.9810000000000003,Junior
431,3-4,3-4,82.27,0-5,-0.472,Senior
432,3-4,3-4,87.04,35-40,0.07500000000000018,Graduate
433,3-4,3-4,83.55,0-5,-0.7169999999999996,Freshman
434,3-4,3-4,89.44,15-20,0.544,Freshman
435,2-3,2-3,85.07,0-5,-1.1159999999999997,Sophomore
436,3-4,3-4,100.0,10-15,0.681,Freshman
437,3-4,3-4,68.55,0-5,-0.42900000000000027,Freshman
438,3-4,3-4,81.04,20-25,0.06499999999999995,Graduate
439,3-4,3-4,50.8,05-10,0.5760000000000001,Graduate
440,3-4,2-3,67.04,30-35,-1.399,Senior
