,Post_Semester_GPA_bracket,Pre_Semester_GPA_bracket,Skill_Retention_Score,Weekly_hours_bracket,GPA_diff,Year_of_Study
95,3-4,3-4,59.56,05-10,0.395,senior
96,2-3,2-3,71.8,0-5,-0.9660000000000002,freshman
97,2-3,2-3,66.73,0-5,-0.7010000000000001,graduate
98,2-3,2-3,55.74,25-30,-0.9020000000000001,freshman
99,2-3,2-3,98.76,10-15,0.18800000000000017,graduate
100,3-4,3-4,62.3,25-30,0.8580000000000001,sophomore
101,1-2,2-3,55.12,05-10,-1.677,freshman
102,3-4,3-4,56.37,0-5,1.844,graduate
103,3-4,3-4,85.52,0-5,-0.7959999999999998,freshman
104,2-3,2-3,63.93,05-10,-1.2719999999999998,junior
105,3-4,2-3,87.33,05-10,0.665,senior
106,2-3,2-3,84.71,05-10,-0.5059999999999998,sophomore
107,2-3,2-3,72.83,0-5,-0.7360000000000002,junior
108,3-4,2-3,94.36,0-5,0.4580000000000002,senior
109,3-4,2-3,96.15,10-15,-0.9420000000000002,graduate
110,3-4,3-4,53.65,05-10,0.7760000000000002,freshman
111,3-4,3-4,82.36,10-15,-0.7970000000000002,freshman
112,3-4,3-4,85.42,05-10,0.24399999999999977,junior
113,3-4,3-4,66.09,0-5,-0.6880000000000002,sophomore
114,3-4,3-4,83.06,0-5,0.6079999999999997,sophomore
115,3-4,3-4,78.83,0-5,-0.758,sophomore
116,3-4,2-3,61.45,05-10,-0.8599999999999999,junior
117,3-4,3-4,62.09,0-5,0.702,graduate
118,2-3,2-3,62.97,25-30,-1.33,freshman
119,2-3,2-3,69.58,0-5,-0.528,freshman
120,2-3,1-2,63.51,0-5,-0.3720000000000001,senior
121,3-4,3-4,69.49,0-5,1.3739999999999997,freshman
122,3-4,3-4,88.85,15-20,-0.30600000000000005,senior
123,3-4,3-4,93.35,0-5,-0.14400000000000013,sophomore
124,3-4,3-4,76.67,35-40,-0.5539999999999998,sophomore
125,3-4,3-4,86.56,15-20,-0.355,sophomore
126,2-3,2-3,96.82,05-10,-0.6760000000000002,sophomore
127,3-4,3-4,76.58,20-25,1.3130000000000002,senior
128,3-4,3-4,63.1,0-5,-0.9079999999999999,graduate
129,3-4,3-4,96.33,05-10,0.08099999999999996,junior
130,3-4,3-4,48.73,0-5,-0.43800000000000017,junior
131,3-4,3-4,84.53,20-25,0.359,freshman
132,3-4,3-4,73.28,05-10,-0.2759999999999998,senior
133,3-4,3-4,67.16,15-20,-0.48099999999999987,junior
134,2-3,2-3,67.06,05-10,-1.319,freshman
135,2-3,2-3,56.59,05-10,0.1160000000000001,freshman
136,3-4,3-4,77.45,10-15,0.379,freshman
137,3-4,2-3,82.77,0-5,-0.7230000000000003,freshman
138,3-4,3-4,59.74,0-5,0.569,senior
139,3-4,3-4,64.37,0-5,-0.488,graduate
140,2-3,2-3,79.7,20-25,-0.9409999999999998,senior
141,2-3,2-3,69.1,25-30,-0.2669999999999999,junior
142,3-4,3-4,78.81,10-15,0.6360000000000001,sophomore
143,3-4,3-4,76.77,15-20,0.027000000000000135,sophomore
144,3-4,3-4,72.99,20-25,0.04599999999999982,junior
145,2-3,2-3,90.32,05-10,-1.452,sophomore
146,3-4,3-4,79.98,25-30,0.0950000000000002,sophomore
147,2-3,2-3,76.11,05-10,-0.996,junior
148,3-4,3-4,57.02,35-40,0.9079999999999999,sophomore
149,3-4,3-4,51.53,35-40,0.29400000000000004,freshman
150,3-4,3-4,100.0,20-25,0.010000000000000231,freshman
151,3-4,2-3,82.92,0-5,-1.2160000000000002,sophomore
152,2-3,2-3,85.82,0-5,-0.22100000000000009,junior
153,3-4,3-4,88.31,0-5,0.6699999999999999,sophomore
154,3-4,3-4,48.59,0-5,-0.06700000000000017,freshman
155,3-4,3-4,72.69,0-5,-0.41000000000000014,sophomore
156,2-3,2-3,73.34,05-10,-1.4220000000000002,freshman
157,3-4,3-4,71.38,0-5,0.496,graduate
158,2-3,2-3,81.38,10-15,-1.339,sophomore
159,3-4,3-4,77.34,0-5,0.9550000000000001,freshman
160,3-4,3-4,66.33,0-5,-0.17499999999999982,senior
161,3-4,3-4,76.08,05-10,-0.4820000000000002,sophomore
162,3-4,3-4,81.7,0-5,-0.21300000000000008,junior
163,3-4,3-4,80.89,0-5,-0.16300000000000026,freshman
164,2-3,2-3,70.82,25-30,-1.5959999999999996,graduate
165,3-4,3-4,66.16,05-10,0.7590000000000003,graduate
166,3-4,3-4,81.93,0-5,-0.028999999999999915,senior
167,2-3,2-3,82.16,0-5,-1.5510000000000002,senior
168,2-3,2-3,51.4,0-5,-0.2400000000000002,junior
169,2-3,2-3,83.54,05-10,-0.04899999999999993,graduate
170,2-3,1-2,82.74,0-5,-0.7559999999999998,junior
171,3-4,3-4,80.69,0-5,1.299,sophomore
172,2-3,2-3,71.53,0-5,-0.762,freshman
173,3-4,3-4,41.99,05-10,0.7410000000000001,freshman
174,2-3,2-3,65.19,10-15,-1.355,junior
175,3-4,3-4,69.25,0-5,0.9100000000000001,sophomore
176,3-4,3-4,87.34,15-20,0.2650000000000001,senior
177,2-3,2-3,73.45,0-5,-0.8809999999999998,sophomore
178,3-4,3-4,59.54,0-5,0.8250000000000002,graduate
179,3-4,2-3,66.28,0-5,-1.0949999999999998,junior
180,2-3,2-3,82.23,25-30,-1.3860000000000001,junior
181,3-4,3-4,57.65,0-5,1.3920000000000003,junior
182,3-4,3-4,90.63,0-5,-0.371,graduate
183,3-4,3-4,64.58,0-5,-0.5100000000000002,freshman
184,3-4,3-4,55.99,35-40,-0.391,freshman
185,3-4,3-4,90.27,0-5,0.17000000000000037,senior
186,3-4,2-3,61.83,0-5,-1.1750000000000003,senior
187,3-4,3-4,55.3,0-5,0.29400000000000004,junior
188,3-4,3-4,62.61,0-5,-0.16400000000000015,sophomore
189,3-4,3-4,89.38,0-5,-0.17799999999999994,sophomore
190,2-3,3-4,92.74,0-5,-0.8320000000000003,sophomore
191,3-4,3-4,96.43,0-5,0.6870000000000003,graduate
192,3-4,3-4,100.0,0-5,-0.718,sophomore
193,3-4,3-4,95.01,05-10,-0.3660000000000001,senior
194,2-3,2-3,72.68,0-5,-1.629,senior
195,3-4,3-4,87.3,0-5,1.3520000000000003,freshman
196,3-4,3-4,55.28,05-10,-0.08899999999999997,freshman
197,2-3,2-3,76.6,0-5,-0.9810000000000003,sophomore
198,1-2,1-2,58.58,05-10,-1.2299999999999998,senior
199,3-4,2-3,87.08,10-15,1.014,sophomore
200,3-4,3-4,53.77,15-20,0.30200000000000005,freshman
201,3-4,2-3,68.03,0-5,-0.9409999999999998,sophomore
202,3-4,3-4,72.33,0-5,0.4870000000000001,freshman
203,2-3,2-3,73.12,10-15,-1.62,freshman
204,3-4,3-4,64.84,20-25,1.185,sophomore
205,3-4,3-4,62.0,05-10,-0.605,freshman
206,3-4,3-4,88.92,0-5,0.43500000000000005,senior
207,3-4,3-4,88.19,05-10,-0.8340000000000001,sophomore
208,3-4,3-4,57.99,0-5,0.31800000000000006,senior
209,2-3,2-3,73.66,05-10,-1.642,junior
210,3-4,3-4,85.19,05-10,0.6539999999999999,graduate
211,3-4,3-4,60.04,15-20,-0.07799999999999985,freshman
212,2-3,2-3,92.54,05-10,-1.181,freshman
213,3-4,3-4,89.03,0-5,1.088,graduate
214,3-4,3-4,77.85,05-10,-0.08800000000000008,senior
215,2-3,3-4,62.17,0-5,-0.9020000000000001,freshman
216,2-3,2-3,77.19,0-5,-0.10299999999999976,freshman
217,3-4,3-4,98.6,05-10,0.5710000000000002,graduate
218,2-3,2-3,86.1,0-5,-1.3159999999999998,freshman
219,3-4,3-4,67.65,0-5,0.3240000000000003,graduate
220,3-4,3-4,79.2,20-25,-0.10599999999999987,graduate
221,3-4,3-4,75.24,0-5,-0.23100000000000032,sophomore
222,3-4,3-4,63.98,20-25,-0.5060000000000002,senior
223,3-4,3-4,70.08,10-15,0.005999999999999783,junior
224,3-4,3-4,76.92,0-5,0.4159999999999999,senior
225,3-4,3-4,90.81,0-5,-0.4969999999999999,sophomore
226,1-2,1-2,49.12,05-10,-1.4500000000000002,freshman
227,3-4,3-4,59.27,15-20,1.359,senior
228,3-4,3-4,80.69,0-5,-0.18700000000000028,freshman
229,3-4,2-3,65.87,05-10,-0.8759999999999999,graduate
230,3-4,3-4,81.36,0-5,0.258,sophomore
231,3-4,3-4,72.15,0-5,0.007000000000000117,freshman
232,3-4,3-4,61.21,05-10,0.19499999999999984,sophomore
233,3-4,3-4,89.33,0-5,-0.0009999999999998899,graduate
234,3-4,3-4,88.9,05-10,-0.681,sophomore
235,3-4,3-4,81.38,0-5,-0.508,graduate
236,3-4,3-4,100.0,05-10,0.08199999999999985,freshman
237,3-4,3-4,100.0,0-5,0.21300000000000008,junior
238,3-4,3-4,78.96,15-20,-0.649,graduate
239,3-4,3-4,74.92,05-10,-0.24200000000000044,freshman
240,3-4,3-4,82.38,05-10,0.08099999999999996,sophomore
241,3-4,3-4,86.02,05-10,-0.004999999999999893,graduate
242,3-4,3-4,73.95,0-5,-0.4370000000000003,junior
243,2-3,2-3,87.34,0-5,-0.831,senior
244,3-4,3-4,97.9,20-25,0.5960000000000001,senior
245,2-3,2-3,64.94,15-20,-0.8249999999999997,junior
246,3-4,3-4,72.68,05-10,1.137,senior
247,2-3,2-3,100.0,10-15,-1.4330000000000003,junior
248,3-4,3-4,78.11,05-10,0.9260000000000002,senior
249,3-4,3-4,67.41,05-10,-0.19700000000000006,freshman
250,3-4,3-4,82.28,10-15,-0.7869999999999999,graduate
251,3-4,3-4,83.47,05-10,-0.17500000000000027,senior
252,2-3,2-3,71.83,0-5,-1.072,sophomore
253,3-4,3-4,64.07,10-15,1.3610000000000002,junior
254,2-3,2-3,59.48,25-30,-1.931,sophomore
255,3-4,2-3,63.11,05-10,0.42399999999999993,senior
256,3-4,3-4,81.63,0-5,0.06099999999999994,graduate
257,3-4,3-4,89.41,0-5,-0.2200000000000002,freshman
258,2-3,2-3,76.43,05-10,-1.259,graduate
259,3-4,2-3,84.55,0-5,0.08099999999999996,freshman
260,3-4,3-4,87.79,20-25,0.1120000000000001,junior
261,3-4,3-4,71.93,05-10,-0.14500000000000002,junior
262,3-4,3-4,87.29,15-20,-0.054999999999999716,sophomore
263,3-4,3-4,68.48,20-25,-0.9500000000000002,junior
264,3-4,2-3,82.2,0-5,-0.34399999999999986,senior
265,3-4,3-4,89.83,10-15,0.0820000000000003,sophomore
266,2-3,2-3,65.63,10-15,-0.4580000000000002,freshman
267,3-4,3-4,89.24,20-25,0.35199999999999987,junior
268,3-4,3-4,69.07,0-5,-0.0950000000000002,senior
269,2-3,2-3,80.34,0-5,-1.2689999999999997,graduate
270,3-4,2-3,79.72,05-10,0.1030000000000002,freshman
271,2-3,2-3,73.16,0-5,-0.5249999999999999,graduate
272,3-4,3-4,62.9,0-5,0.621,junior
273,2-3,2-3,53.56,20-25,-1.056,sophomore
274,3-4,3-4,100.0,0-5,0.851,graduate
275,3-4,3-4,72.34,05-10,-0.43100000000000005,sophomore
276,3-4,3-4,68.24,0-5,-0.33599999999999985,senior
277,3-4,3-4,62.69,10-15,-0.03200000000000003,senior
278,3-4,3-4,66.31,0-5,-0.7909999999999999,junior
279,3-4,3-4,93.98,0-5,0.010000000000000231,senior
280,3-4,3-4,96.43,05-10,0.43000000000000016,junior
281,3-4,3-4,72.7,05-10,-0.16000000000000014,freshman
282,3-4,2-3,92.27,05-10,-1.1360000000000001,senior
283,2-3,2-3,80.69,20-25,-1.0,graduate
284,3-4,3-4,80.71,0-5,0.4450000000000003,junior
285,3-4,3-4,71.73,10-15,0.04499999999999993,graduate
286,3-4,3-4,77.08,0-5,-0.0029999999999996696,junior
287,2-3,2-3,86.59,10-15,-0.8899999999999997,junior
288,3-4,3-4,97.52,0-5,0.5859999999999999,senior
289,2-3,2-3,76.75,0-5,-1.0019999999999998,freshman
290,3-4,3-4,89.74,05-10,0.7909999999999999,graduate
291,3-4,2-3,52.64,25-30,-0.6229999999999998,senior
292,2-3,2-3,52.09,15-20,-0.6590000000000003,graduate
293,3-4,3-4,69.49,05-10,0.9250000000000003,junior
294,3-4,2-3,66.18,0-5,-1.2160000000000002,graduate
295,3-4,3-4,100.0,20-25,0.25900000000000034,senior
296,3-4,3-4,71.89,10-15,-0.20500000000000007,junior
297,3-4,2-3,77.43,15-20,-0.907,graduate
298,3-4,3-4,100.0,0-5,-0.008000000000000007,junior
299,2-3,2-3,84.97,0-5,-1.13,junior
300,3-4,3-4,67.93,10-15,0.685,freshman
301,2-3,2-3,73.9,0-5,-0.6319999999999997,graduate
302,3-4,3-4,40.0,25-30,0.24299999999999988,sophomore
303,2-3,3-4,55.25,05-10,-0.20100000000000007,freshman
304,2-3,2-3,85.51,35-40,-0.29400000000000004,freshman
305,2-3,2-3,79.28,0-5,-0.28700000000000037,junior
306,3-4,3-4,68.95,0-5,0.9169999999999998,sophomore
307,2-3,2-3,74.44,05-10,-0.859,senior
308,3-4,3-4,64.43,0-5,0.02499999999999991,sophomore
309,2-3,2-3,91.55,0-5,-0.3540000000000001,senior
310,3-4,2-3,97.27,05-10,0.121,freshman
311,3-4,3-4,84.26,10-15,0.403,sophomore
312,2-3,2-3,86.21,0-5,-1.609,senior
313,3-4,3-4,68.26,0-5,1.2309999999999999,sophomore
314,3-4,3-4,100.0,05-10,-0.9329999999999998,freshman
315,3-4,3-4,88.9,0-5,0.24400000000000022,graduate
316,3-4,3-4,95.56,15-20,-0.8380000000000001,freshman
317,3-4,2-3,83.04,0-5,-0.6240000000000001,freshman
318,2-3,2-3,60.3,0-5,-1.0139999999999998,sophomore
319,3-4,2-3,86.64,35-40,0.052000000000000046,freshman
320,2-3,2-3,76.14,0-5,-0.4900000000000002,freshman
321,3-4,3-4,85.46,05-10,0.41700000000000026,senior
322,3-4,3-4,51.93,0-5,-0.6579999999999999,freshman
323,1-2,2-3,90.08,05-10,-1.254,freshman
324,3-4,3-4,83.84,0-5,1.598,graduate
325,3-4,2-3,82.62,0-5,-1.0050000000000003,junior
326,3-4,3-4,69.04,15-20,0.09799999999999986,freshman
327,2-3,2-3,60.24,0-5,-0.6379999999999999,junior
328,3-4,3-4,73.04,05-10,0.32699999999999996,freshman
329,3-4,3-4,63.13,05-10,0.29000000000000004,junior
330,3-4,3-4,71.23,0-5,0.03799999999999981,junior
331,2-3,2-3,69.16,25-30,-1.634,graduate
332,2-3,2-3,94.02,0-5,-0.1379999999999999,sophomore
333,3-4,3-4,70.75,35-40,1.1669999999999998,senior
334,3-4,3-4,64.13,0-5,-0.6920000000000002,freshman
335,3-4,3-4,80.65,10-15,-0.2759999999999998,junior
336,3-4,3-4,73.74,0-5,-0.45500000000000007,sophomore
337,3-4,3-4,65.5,05-10,0.1280000000000001,junior
338,3-4,2-3,98.6,0-5,-0.677,sophomore
339,2-3,2-3,55.3,15-20,-0.8940000000000001,graduate
340,3-4,3-4,71.19,0-5,1.2970000000000002,graduate
341,3-4,2-3,76.66,0-5,-1.2149999999999999,junior
342,3-4,2-3,62.68,20-25,-0.32099999999999973,freshman
343,3-4,3-4,84.84,05-10,0.8340000000000001,junior
344,3-4,3-4,82.42,15-20,-0.552,senior
345,3-4,3-4,73.52,30-35,-0.34999999999999964,freshman
346,2-3,2-3,67.17,0-5,-0.399,junior
347,3-4,3-4,86.97,0-5,0.6219999999999999,freshman
348,3-4,3-4,45.42,0-5,-0.391,sophomore
349,3-4,3-4,73.79,05-10,0.47699999999999987,freshman
350,3-4,3-4,87.1,0-5,-0.589,graduate
351,3-4,3-4,66.01,0-5,-0.07100000000000017,freshman
352,3-4,3-4,82.29,05-10,-0.5860000000000003,freshman
353,3-4,2-3,97.22,05-10,-0.1629999999999998,graduate
354,2-3,2-3,58.42,0-5,-0.7189999999999999,junior
355,2-3,2-3,100.0,05-10,0.2360000000000002,senior
356,2-3,2-3,67.28,30-35,-0.05699999999999994,sophomore
357,3-4,3-4,79.42,0-5,0.5800000000000001,junior
358,3-4,3-4,66.26,10-15,-0.7250000000000001,freshman
359,3-4,3-4,80.8,25-30,-0.1080000000000001,sophomore
360,3-4,3-4,76.52,20-25,-0.13600000000000012,junior
361,3-4,3-4,100.0,0-5,0.1629999999999998,junior
362,2-3,2-3,54.32,05-10,-1.0779999999999998,sophomore
363,3-4,2-3,71.27,35-40,-0.038000000000000256,senior
364,3-4,3-4,75.27,05-10,0.33299999999999974,junior
365,3-4,3-4,79.8,0-5,0.10299999999999976,junior
366,2-3,2-3,75.01,0-5,-1.499,freshman
367,3-4,3-4,84.58,10-15,0.8179999999999996,graduate
368,3-4,3-4,75.45,05-10,-0.29499999999999993,sophomore
369,3-4,3-4,69.86,05-10,-0.46799999999999997,junior
370,3-4,3-4,89.21,0-5,0.10199999999999987,sophomore
371,3-4,3-4,90.72,0-5,0.07299999999999995,graduate
372,3-4,3-4,83.61,0-5,-0.8010000000000002,graduate
373,3-4,3-4,61.82,20-25,0.20399999999999974,sophomore
374,2-3,2-3,100.0,05-10,-1.6629999999999998,senior
375,3-4,3-4,63.22,10-15,0.5340000000000003,freshman
376,3-4,3-4,76.39,15-20,-0.03600000000000003,freshman
377,3-4,3-4,85.8,0-5,0.11900000000000022,senior
378,2-3,2-3,68.26,0-5,-0.8860000000000001,freshman
379,2-3,2-3,61.94,05-10,0.10399999999999965,freshman
380,2-3,2-3,65.19,30-35,-0.6139999999999999,junior
381,3-4,3-4,91.91,0-5,1.1549999999999998,senior
382,3-4,2-3,82.15,0-5,-1.0630000000000002,freshman
383,2-3,2-3,65.38,10-15,-0.8819999999999997,freshman
384,2-3,2-3,70.62,10-15,0.5419999999999998,freshman
385,3-4,3-4,74.85,0-5,0.3460000000000001,freshman
386,3-4,3-4,89.82,0-5,0.2789999999999999,freshman
387,3-4,3-4,83.47,10-15,-0.7109999999999999,graduate
388,3-4,3-4,72.23,0-5,-0.4630000000000001,freshman
389,3-4,3-4,63.96,05-10,-0.13100000000000023,junior
390,2-3,2-3,86.1,05-10,-0.8930000000000002,graduate
391,3-4,3-4,100.0,0-5,0.968,junior
392,3-4,3-4,85.0,05-10,-0.4079999999999999,freshman
393,3-4,3-4,50.58,0-5,-0.3380000000000001,junior
394,3-4,3-4,82.27,0-5,-0.09699999999999998,graduate
395,3-4,3-4,80.63,10-15,-0.17999999999999972,sophomore
396,3-4,3-4,87.89,05-10,0.46799999999999997,sophomore
397,3-4,3-4,60.34,30-35,-0.5379999999999998,sophomore
398,2-3,2-3,77.62,20-25,-1.496,junior
399,2-3,2-3,56.25,10-15,0.4370000000000003,sophomore
400,3-4,2-3,93.75,05-10,-0.03699999999999992,senior
401,3-4,3-4,92.49,10-15,0.06899999999999995,senior
402,2-3,2-3,45.37,20-25,-1.0820000000000003,sophomore
403,3-4,3-4,80.62,10-15,0.524,senior
404,2-3,2-3,54.93,0-5,-1.6199999999999997,freshman
405,2-3,2-3,84.58,05-10,-0.15500000000000025,senior
406,3-4,3-4,53.56,0-5,0.7719999999999998,junior
407,3-4,3-4,71.44,20-25,-0.10999999999999988,junior
408,3-4,3-4,95.15,0-5,-0.1459999999999999,freshman
409,2-3,2-3,65.48,30-35,-1.843,junior
410,3-4,2-3,60.14,0-5,0.02499999999999991,junior
411,3-4,3-4,64.69,0-5,0.03399999999999981,junior
412,3-4,3-4,100.0,0-5,-0.254,sophomore
413,3-4,3-4,74.39,20-25,0.4089999999999998,freshman
414,3-4,3-4,76.53,35-40,-0.46099999999999985,junior
415,3-4,3-4,75.59,0-5,-0.6070000000000002,sophomore
416,3-4,3-4,56.31,25-30,-0.20500000000000007,junior
417,3-4,3-4,65.01,10-15,-0.10400000000000009,junior
418,2-3,2-3,50.93,10-15,-0.8250000000000002,sophomore
419,3-4,3-4,59.91,0-5,0.242,sophomore
420,3-4,3-4,74.13,05-10,0.19299999999999962,junior
421,3-4,3-4,95.15,05-10,-0.395,junior
422,3-4,3-4,83.95,05-10,-0.36499999999999977,junior
423,3-4,3-4,49.36,20-25,-0.6999999999999997,graduate
424,2-3,2-3,77.84,05-10,-0.609,senior
425,3-4,3-4,67.96,0-5,0.718,freshman
426,2-3,2-3,67.0,0-5,-1.307,junior
427,3-4,3-4,50.45,20-25,0.6189999999999998,sophomore
428,3-4,3-4,54.9,0-5,-0.020999999999999908,sophomore
429,2-3,2-3,56.47,10-15,-0.9119999999999999,graduate
430,3-4,3-4,72.92,10-15,0.9810000000000003,junior
431,3-4,3-4,82.27,0-5,-0.472,senior
432,3-4,3-4,87.04,35-40,0.07500000000000018,graduate
433,3-4,3-4,83.55,0-5,-0.7169999999999996,freshman
434,3-4,3-4,89.44,15-20,0.544,freshman
435,2-3,2-3,85.07,0-5,-1.1159999999999997,sophomore
436,3-4,3-4,100.0,10-15,0.681,freshman
437,3-4,3-4,68.55,0-5,-0.42900000000000027,freshman
438,3-4,3-4,81.04,20-25,0.06499999999999995,graduate
439,3-4,3-4,50.8,05-10,0.5760000000000001,graduate
440,3-4,2-3,67.04,30-35,-1.399,senior
441,3-4,3-4,74.97,0-5,0.21099999999999985,senior
442,3-4,3-4,70.1,05-10,0.001000000000000334,freshman
443,1-2,1-2,57.69,0-5,-2.319,junior
444,3-4,3-4,93.1,05-10,1.728,freshman
445,2-3,2-3,83.36,10-15,-1.1060000000000003,sophomore
446,2-3,2-3,94.84,10-15,-0.5990000000000002,sophomore
447,3-4,3-4,83.55,05-10,0.6400000000000001,junior
448,3-4,3-4,50.77,0-5,0.32299999999999995,freshman
449,3-4,3-4,93.09,0-5,-0.07299999999999995,freshman
450,3-4,3-4,60.82,0-5,-0.3740000000000001,junior
451,3-4,3-4,75.28,0-5,0.05900000000000016,junior
452,3-4,3-4,98.75,05-10,-0.359,sophomore
453,3-4,3-4,86.48,0-5,-0.11099999999999977,freshman
454,3-4,3-4,87.71,05-10,0.14900000000000002,graduate
455,3-4,3-4,71.97,0-5,-0.258,freshman
