Weekly_GenAI_Hours,Traditional_Study_Hours,Perceived_AI_Dependency,Burnout_Risk_Level,Anxiety_Level_During_Exams,Institutional_Policy
32.74,1.0,7,high,10,allowed_with_citation
19.61,1.0,6,high,10,actively_encouraged
13.16,13.2,7,high,10,strict_ban
14.97,1.0,4,medium,10,strict_ban
38.0,9.37,8,high,10,strict_ban
28.58,6.45,8,high,10,strict_ban
18.49,2.97,8,high,10,strict_ban
20.28,4.31,7,medium,10,strict_ban
4.94,15.14,5,medium,10,actively_encouraged
40.0,6.69,7,high,10,strict_ban
35.03,12.31,9,high,10,strict_ban
20.51,12.94,6,medium,10,strict_ban
27.21,4.89,5,medium,10,allowed_with_citation
17.54,9.09,5,high,10,strict_ban
24.03,19.4,6,medium,10,strict_ban
18.09,10.47,4,medium,10,strict_ban
17.89,10.92,6,high,10,strict_ban
24.22,9.27,5,high,10,strict_ban
10.01,23.7,5,high,10,strict_ban
25.76,9.14,5,high,10,strict_ban
16.17,4.43,6,high,10,strict_ban
26.83,20.47,8,high,10,strict_ban
30.65,18.72,8,high,10,strict_ban
4.47,16.0,3,low,10,strict_ban
3.46,7.38,5,medium,10,allowed_with_citation
7.37,10.26,2,medium,10,actively_encouraged
15.64,12.42,6,medium,10,strict_ban
23.5,1.0,7,high,10,strict_ban
16.39,8.03,5,high,10,strict_ban
21.91,1.0,7,high,10,strict_ban
40.0,6.78,9,high,10,strict_ban
33.72,11.75,5,medium,10,strict_ban
25.67,12.72,8,high,10,strict_ban
32.81,6.97,8,high,10,strict_ban
13.09,10.4,4,medium,10,strict_ban
16.19,9.47,7,medium,10,allowed_with_citation
10.59,4.41,3,medium,10,strict_ban
33.62,9.83,9,high,10,strict_ban
40.0,10.81,8,high,10,strict_ban
22.98,1.0,8,high,10,strict_ban
11.29,14.16,5,high,10,strict_ban
18.91,16.1,6,high,10,strict_ban
14.28,13.89,6,low,10,strict_ban
10.85,6.4,7,medium,10,strict_ban
2.43,13.69,5,medium,10,allowed_with_citation
5.84,10.02,4,low,10,allowed_with_citation
39.36,17.65,7,high,10,strict_ban
27.54,2.59,6,high,10,strict_ban
12.06,14.05,7,medium,10,allowed_with_citation
33.74,3.68,7,high,10,strict_ban
34.48,1.0,10,high,10,strict_ban
37.23,4.63,8,high,10,strict_ban
36.3,7.48,7,high,10,actively_encouraged
3.68,13.65,3,low,10,allowed_with_citation
33.79,1.0,9,high,10,allowed_with_citation
19.33,8.33,5,high,10,actively_encouraged
33.75,1.94,7,high,10,strict_ban
7.48,5.84,6,medium,10,actively_encouraged
37.48,4.8,7,high,10,strict_ban
11.17,12.3,5,high,10,strict_ban
11.32,8.0,4,high,10,strict_ban
20.25,6.67,5,high,10,strict_ban
34.0,3.48,9,high,10,strict_ban
40.0,1.0,9,high,10,strict_ban
33.07,2.14,8,high,10,strict_ban
22.12,10.25,7,medium,10,allowed_with_citation
6.67,14.3,4,medium,10,allowed_with_citation
14.84,14.34,4,medium,10,strict_ban
36.0,5.81,8,high,10,allowed_with_citation
29.72,14.05,7,medium,10,strict_ban
40.0,9.22,10,high,10,allowed_with_citation
4.78,9.96,5,medium,10,allowed_with_citation
11.35,7.56,6,high,10,strict_ban
26.19,9.24,6,high,10,strict_ban
24.3,2.02,4,high,10,strict_ban
16.28,2.26,5,high,10,strict_ban
22.55,5.06,4,high,10,strict_ban
40.0,7.96,8,high,10,strict_ban
37.64,6.93,6,high,10,strict_ban
17.53,13.95,6,medium,10,strict_ban
34.0,7.83,9,high,10,strict_ban
28.91,7.47,5,high,10,strict_ban
20.27,13.17,8,high,10,allowed_with_citation
40.0,9.2,9,high,10,allowed_with_citation
35.12,7.37,10,high,10,allowed_with_citation
34.45,10.14,7,high,10,strict_ban
26.55,7.98,7,medium,10,allowed_with_citation
2.74,13.51,5,low,10,allowed_with_citation
18.66,6.01,6,high,10,allowed_with_citation
21.86,1.89,5,high,10,strict_ban
11.42,8.64,5,medium,10,strict_ban
18.3,1.9,4,high,10,strict_ban
29.19,12.94,8,high,10,strict_ban
40.0,14.16,7,high,10,strict_ban
26.47,5.86,8,high,10,strict_ban
6.67,16.09,5,medium,10,allowed_with_citation
13.47,24.17,3,high,10,strict_ban
38.0,1.0,7,high,10,strict_ban
40.0,4.54,6,high,10,strict_ban
30.53,4.02,7,high,10,strict_ban
7.05,16.89,5,medium,10,strict_ban
40.0,2.33,10,high,10,strict_ban
27.48,5.62,6,high,10,strict_ban
10.89,16.23,5,high,10,strict_ban
32.72,13.77,8,high,10,strict_ban
38.37,14.94,9,medium,10,allowed_with_citation
22.94,7.21,6,high,10,strict_ban
28.26,18.49,8,high,10,strict_ban
15.9,15.39,4,high,10,strict_ban
31.92,15.46,7,high,10,strict_ban
0.59,9.29,4,medium,10,actively_encouraged
20.64,14.29,4,high,10,strict_ban
19.53,12.55,6,high,10,strict_ban
38.0,11.81,7,high,10,strict_ban
14.49,7.29,5,medium,10,actively_encouraged
22.53,16.63,6,high,10,strict_ban
14.4,10.81,7,high,10,strict_ban
18.4,7.93,8,high,10,actively_encouraged
3.93,8.51,5,medium,10,allowed_with_citation
30.32,7.64,8,high,10,strict_ban
17.91,19.36,6,medium,10,strict_ban
21.32,19.45,6,medium,10,strict_ban
39.17,11.2,7,high,10,allowed_with_citation
11.43,18.86,5,medium,10,strict_ban
23.77,6.54,7,high,10,strict_ban
2.89,15.44,4,medium,10,allowed_with_citation
24.55,10.87,7,high,10,strict_ban
28.76,13.02,10,high,10,strict_ban
2.49,11.54,5,medium,10,allowed_with_citation
16.17,13.58,6,high,10,allowed_with_citation
18.34,9.61,5,high,10,strict_ban
10.04,12.11,6,medium,10,actively_encouraged
31.78,9.68,9,high,10,strict_ban
11.97,1.0,5,medium,10,strict_ban
21.65,12.99,4,high,10,strict_ban
12.44,9.92,6,medium,10,strict_ban
17.32,12.71,7,medium,10,allowed_with_citation
20.86,2.83,6,high,10,strict_ban
26.13,9.74,7,high,10,strict_ban
26.04,18.94,7,high,10,strict_ban
20.51,12.67,8,high,10,strict_ban
10.44,23.88,6,high,10,strict_ban
34.43,9.47,7,high,10,allowed_with_citation
0.5,1.0,5,medium,10,allowed_with_citation
14.0,6.82,6,medium,10,actively_encouraged
32.52,10.71,6,high,10,strict_ban
18.98,5.75,5,high,10,strict_ban
9.33,11.1,5,high,10,allowed_with_citation
22.85,8.25,6,high,10,strict_ban
22.7,2.89,6,medium,10,strict_ban
32.37,13.04,8,high,10,strict_ban
25.78,15.73,6,high,10,actively_encouraged
15.35,8.22,7,medium,10,actively_encouraged
25.06,14.3,8,high,10,strict_ban
40.0,11.46,8,high,10,strict_ban
4.0,4.6,4,low,10,allowed_with_citation
13.89,6.75,6,medium,10,strict_ban
28.88,8.36,8,high,10,strict_ban
20.6,8.85,7,medium,10,strict_ban
11.0,8.52,4,high,10,actively_encouraged
19.07,6.19,7,high,10,strict_ban
40.0,9.68,9,high,10,strict_ban
24.43,5.55,5,high,10,strict_ban
17.94,11.3,6,medium,10,strict_ban
22.51,14.59,4,high,10,strict_ban
23.31,1.0,7,high,10,strict_ban
36.12,11.08,8,high,10,strict_ban
17.11,11.53,5,high,10,strict_ban
20.63,4.83,8,high,10,allowed_with_citation
38.56,8.88,8,high,10,strict_ban
24.89,22.0,6,high,10,strict_ban
19.34,18.63,8,high,10,strict_ban
16.72,12.65,6,high,10,allowed_with_citation
20.13,9.16,6,high,10,strict_ban
40.0,3.43,7,high,10,actively_encouraged
40.0,11.12,10,high,10,actively_encouraged
13.94,1.0,5,medium,10,strict_ban
15.42,17.95,6,high,10,allowed_with_citation
36.0,2.32,8,high,10,strict_ban
40.0,15.42,8,high,10,strict_ban
8.07,4.03,4,medium,10,allowed_with_citation
21.94,12.98,5,high,10,strict_ban
24.9,14.9,6,high,10,strict_ban
32.92,6.58,7,high,10,allowed_with_citation
35.42,1.0,10,high,10,strict_ban
40.0,4.19,10,high,10,actively_encouraged
14.38,11.29,3,high,10,strict_ban
3.38,16.78,4,medium,10,allowed_with_citation
40.0,15.53,10,high,10,strict_ban
34.11,16.45,10,high,10,allowed_with_citation
19.3,5.15,6,high,10,strict_ban
31.36,6.45,6,high,10,strict_ban
32.41,10.35,7,high,10,strict_ban
18.5,2.95,6,high,10,strict_ban
22.56,1.0,7,high,10,strict_ban
27.81,1.0,7,medium,10,strict_ban
15.59,5.21,6,high,10,strict_ban
13.68,12.08,5,high,10,strict_ban
17.27,8.16,5,high,10,allowed_with_citation
1.7,15.84,3,low,10,allowed_with_citation
24.1,5.27,8,high,10,strict_ban
29.41,8.58,9,high,10,strict_ban
29.8,13.8,7,high,10,actively_encouraged
40.0,1.79,9,high,10,strict_ban
9.59,13.26,4,low,10,actively_encouraged
9.38,6.08,6,medium,10,actively_encouraged
23.83,16.12,7,medium,10,actively_encouraged
23.61,5.3,8,medium,10,strict_ban
25.02,8.93,6,high,10,allowed_with_citation
13.05,17.85,4,high,10,strict_ban
14.85,14.92,5,high,10,strict_ban
25.08,12.3,7,medium,10,strict_ban
27.87,20.49,9,high,10,strict_ban
1.44,13.57,4,medium,10,allowed_with_citation
10.71,8.11,5,high,10,strict_ban
25.73,17.94,5,medium,10,strict_ban
18.46,13.37,6,medium,10,strict_ban
31.94,4.41,7,high,10,strict_ban
2.19,12.67,5,medium,10,strict_ban
40.0,11.13,10,high,10,strict_ban
27.03,10.15,8,medium,10,strict_ban
20.3,13.87,6,high,10,strict_ban
11.55,10.98,4,medium,10,allowed_with_citation
22.52,1.0,4,medium,10,strict_ban
26.62,7.03,6,high,10,actively_encouraged
40.0,6.77,8,high,10,strict_ban
37.48,6.36,6,high,10,strict_ban
13.71,14.63,3,medium,10,strict_ban
15.68,10.26,4,high,10,strict_ban
22.17,7.78,7,high,10,strict_ban
25.77,19.31,5,high,10,allowed_with_citation
25.13,3.88,7,medium,10,strict_ban
23.18,11.68,8,medium,10,strict_ban
15.19,21.1,6,medium,10,strict_ban
27.81,6.73,9,high,10,strict_ban
1.63,12.47,5,medium,10,allowed_with_citation
9.87,7.85,5,high,10,allowed_with_citation
12.76,16.1,6,high,10,strict_ban
5.81,11.59,5,low,10,allowed_with_citation
14.49,12.35,6,high,10,strict_ban
13.23,15.66,2,low,10,strict_ban
40.0,1.0,7,high,10,allowed_with_citation
12.91,11.57,6,high,10,strict_ban
16.88,20.04,5,high,10,strict_ban
0.96,13.39,3,medium,10,allowed_with_citation
24.02,5.82,7,high,10,strict_ban
23.37,15.67,7,high,10,strict_ban
40.0,1.0,9,high,10,strict_ban
19.65,5.76,6,high,10,strict_ban
29.63,1.57,9,high,10,strict_ban
15.67,11.25,7,high,10,strict_ban
22.09,11.79,7,medium,10,strict_ban
36.11,13.18,6,high,10,strict_ban
29.9,7.36,9,high,10,strict_ban
13.39,3.49,6,high,10,strict_ban
13.1,12.17,5,low,10,allowed_with_citation
7.49,3.03,6,high,10,strict_ban
11.19,8.54,6,high,10,strict_ban
33.89,7.02,7,high,10,strict_ban
15.38,10.36,5,medium,10,strict_ban
33.55,14.04,9,high,10,strict_ban
40.0,11.64,8,high,10,strict_ban
26.63,17.63,7,high,10,strict_ban
35.55,17.16,8,medium,10,actively_encouraged
10.1,19.85,4,medium,10,strict_ban
10.44,14.78,4,high,10,strict_ban
27.21,14.23,6,low,10,strict_ban
15.02,1.35,4,medium,10,actively_encouraged
22.46,16.43,5,high,10,strict_ban
29.1,13.03,6,high,10,strict_ban
40.0,2.38,9,high,10,actively_encouraged
20.34,9.18,6,high,10,strict_ban
31.59,7.73,7,high,10,strict_ban
26.46,3.52,5,high,10,strict_ban
19.52,9.18,6,high,10,strict_ban
15.36,10.57,7,high,10,strict_ban
25.68,17.33,9,medium,10,strict_ban
21.63,15.58,5,high,10,strict_ban
35.65,6.59,9,high,10,strict_ban
24.07,8.85,6,high,10,strict_ban
29.66,8.2,5,high,10,strict_ban
24.88,15.4,6,high,10,strict_ban
40.0,17.42,9,high,10,strict_ban
18.6,12.26,6,high,10,actively_encouraged
15.63,2.77,3,high,10,strict_ban
26.71,7.63,7,medium,10,actively_encouraged
13.86,7.85,5,medium,10,strict_ban
11.0,12.58,6,medium,10,allowed_with_citation
40.0,2.07,10,high,10,strict_ban
30.07,1.3,6,high,10,strict_ban
31.71,14.66,10,high,10,strict_ban
21.16,8.65,8,high,10,strict_ban
19.65,2.98,5,high,10,strict_ban
25.67,12.12,8,high,10,strict_ban
33.97,8.62,8,high,10,strict_ban
28.12,10.46,10,high,10,strict_ban
12.74,14.53,7,high,10,strict_ban
36.96,14.49,8,high,10,strict_ban
11.13,15.28,7,medium,10,strict_ban
7.29,8.66,4,high,10,allowed_with_citation
40.0,5.12,9,high,10,strict_ban
17.4,14.36,7,high,10,actively_encouraged
16.18,10.8,3,high,10,strict_ban
14.41,5.67,5,medium,10,allowed_with_citation
2.78,9.1,3,medium,10,allowed_with_citation
34.41,9.47,8,high,10,strict_ban
10.46,5.4,5,medium,10,strict_ban
12.68,18.09,8,medium,10,strict_ban
36.39,10.53,9,high,10,allowed_with_citation
34.41,11.85,9,high,10,strict_ban
29.48,4.53,6,high,10,actively_encouraged
36.73,4.33,8,high,10,strict_ban
31.51,8.27,7,high,10,strict_ban
25.09,6.75,10,high,10,allowed_with_citation
23.84,2.7,7,high,10,strict_ban
2.78,14.12,4,medium,10,allowed_with_citation
13.37,27.07,5,high,10,strict_ban
24.79,13.06,8,high,10,strict_ban
4.15,7.08,3,low,10,actively_encouraged
19.59,6.63,8,high,10,strict_ban
26.51,13.05,7,medium,10,strict_ban
17.23,9.76,5,high,10,strict_ban
40.0,13.24,8,high,10,strict_ban
37.73,9.26,7,medium,10,strict_ban
39.19,12.28,10,high,10,actively_encouraged
1.0,12.32,2,medium,10,allowed_with_citation
22.94,6.41,5,medium,10,strict_ban
24.42,11.05,6,high,10,strict_ban
28.83,2.08,8,high,10,allowed_with_citation
25.05,4.58,6,medium,10,strict_ban
40.0,8.47,9,high,10,strict_ban
29.34,13.59,7,high,10,strict_ban
4.07,16.18,6,medium,10,allowed_with_citation
2.46,13.15,4,low,10,allowed_with_citation
25.1,11.28,7,high,10,strict_ban
14.85,17.24,7,low,10,allowed_with_citation
21.1,17.65,5,medium,10,strict_ban
40.0,2.96,9,high,10,allowed_with_citation
20.18,13.11,5,high,10,allowed_with_citation
31.65,5.86,7,high,10,strict_ban
13.92,14.55,6,high,10,strict_ban
15.85,18.1,6,high,10,allowed_with_citation
15.05,10.52,5,medium,10,strict_ban
29.98,18.15,8,medium,10,allowed_with_citation
40.0,15.81,10,high,10,strict_ban
16.94,13.34,5,high,10,strict_ban
40.0,7.58,7,high,10,strict_ban
14.9,12.09,6,medium,10,strict_ban
27.65,8.63,6,high,10,strict_ban
22.01,7.73,8,high,10,strict_ban
7.53,10.73,4,high,10,allowed_with_citation
40.0,7.55,8,high,10,strict_ban
18.73,15.91,7,high,10,strict_ban
25.0,8.43,6,high,10,strict_ban
30.16,6.21,9,high,10,strict_ban
40.0,8.73,8,high,10,strict_ban
24.4,13.18,7,high,10,actively_encouraged
30.33,1.55,8,high,10,strict_ban
40.0,3.87,10,high,10,strict_ban
40.0,20.57,10,high,10,allowed_with_citation
20.39,14.14,8,high,10,strict_ban
8.27,18.32,6,medium,10,strict_ban
23.86,11.85,5,high,10,strict_ban
34.58,14.43,7,high,10,strict_ban
13.04,15.89,3,high,10,strict_ban
40.0,6.26,8,high,10,strict_ban
20.17,8.09,5,high,10,strict_ban
4.2,6.97,2,low,10,allowed_with_citation
20.25,12.19,5,high,10,allowed_with_citation
32.1,6.7,8,high,10,strict_ban
29.36,10.21,8,high,10,allowed_with_citation
31.02,8.76,6,medium,10,strict_ban
30.24,4.93,6,high,10,strict_ban
5.86,10.63,5,high,10,actively_encouraged
27.26,10.19,8,high,10,allowed_with_citation
40.0,5.48,9,high,10,strict_ban
14.85,13.49,6,high,10,strict_ban
23.47,15.48,7,medium,10,actively_encouraged
23.35,16.87,7,high,10,strict_ban
14.3,9.41,5,high,10,strict_ban
25.89,5.02,7,high,10,strict_ban
16.92,6.87,8,high,10,strict_ban
10.35,7.8,6,high,10,actively_encouraged
1.68,13.98,5,medium,10,allowed_with_citation
2.13,14.06,3,medium,10,allowed_with_citation
16.19,9.12,3,high,10,strict_ban
17.08,15.58,4,medium,10,allowed_with_citation
28.19,11.3,7,medium,10,allowed_with_citation
8.43,15.44,4,medium,10,strict_ban
30.08,17.33,7,high,10,strict_ban
13.13,10.0,5,high,10,strict_ban
33.6,11.6,7,high,10,strict_ban
25.36,11.89,8,high,10,strict_ban
29.83,1.18,7,high,10,actively_encouraged
15.3,6.19,3,high,10,strict_ban
31.19,14.45,6,high,10,strict_ban
40.0,8.51,9,medium,10,strict_ban
25.73,11.75,6,high,10,actively_encouraged
36.83,10.83,9,high,10,strict_ban
23.68,11.61,7,high,10,strict_ban
16.48,11.48,7,medium,10,allowed_with_citation
22.52,6.73,8,high,10,strict_ban
15.65,18.04,6,high,10,strict_ban
40.0,1.0,8,high,10,strict_ban
21.21,13.9,8,medium,10,strict_ban
17.58,3.81,5,medium,10,actively_encouraged
14.24,2.49,4,high,10,strict_ban
40.0,16.41,10,high,10,allowed_with_citation
20.67,3.48,6,high,10,strict_ban
37.53,14.04,7,high,10,allowed_with_citation
32.31,13.57,8,high,10,allowed_with_citation
24.05,10.71,7,high,10,strict_ban
36.0,9.26,7,high,10,strict_ban
21.55,1.0,7,high,10,strict_ban
15.99,13.71,5,high,10,strict_ban
6.1,12.19,4,low,10,allowed_with_citation
7.12,13.5,5,medium,10,actively_encouraged
1.97,14.55,4,medium,10,allowed_with_citation
32.0,8.24,8,high,10,allowed_with_citation
1.03,7.48,5,medium,10,allowed_with_citation
12.24,15.71,5,high,10,strict_ban
26.87,4.86,7,high,10,strict_ban
32.45,7.19,6,high,10,strict_ban
5.23,20.61,4,low,10,allowed_with_citation
35.85,11.47,9,high,10,strict_ban
39.65,2.62,9,high,10,strict_ban
19.47,9.32,5,medium,10,strict_ban
14.07,14.93,7,medium,10,strict_ban
11.08,9.83,5,high,10,strict_ban
34.0,3.64,7,high,10,strict_ban
35.79,8.9,9,high,10,actively_encouraged
26.75,14.22,9,high,10,strict_ban
22.14,21.57,6,medium,10,strict_ban
6.75,11.97,5,low,10,allowed_with_citation
11.46,13.91,3,low,10,strict_ban
38.0,11.1,9,high,10,strict_ban
33.38,15.5,9,high,10,strict_ban
40.0,3.79,9,high,10,strict_ban
10.57,22.0,5,high,10,actively_encouraged
21.08,7.06,5,high,10,strict_ban
9.4,10.32,5,low,10,allowed_with_citation
40.0,4.97,8,high,10,strict_ban
40.0,7.97,9,high,10,strict_ban
12.04,10.24,4,medium,10,strict_ban
24.55,11.86,8,high,10,strict_ban
11.17,8.55,6,medium,10,strict_ban
10.57,15.23,7,medium,10,allowed_with_citation
16.64,15.28,5,high,10,strict_ban
30.33,3.29,6,high,10,strict_ban
14.28,14.36,4,high,10,strict_ban
30.48,6.39,5,high,10,strict_ban
27.93,5.9,9,high,10,actively_encouraged
17.97,5.69,6,high,10,strict_ban
15.8,6.99,4,high,10,strict_ban
27.68,1.0,6,high,10,strict_ban
26.87,10.7,7,high,10,actively_encouraged
14.13,12.38,7,high,10,strict_ban
17.38,3.61,5,high,10,strict_ban
0.58,5.33,4,medium,10,allowed_with_citation
18.3,2.58,6,high,10,strict_ban
13.28,6.73,4,low,10,strict_ban
12.25,14.78,6,medium,10,strict_ban
25.96,4.85,6,high,10,allowed_with_citation
40.0,10.79,6,high,10,strict_ban
1.03,12.73,4,medium,10,allowed_with_citation
33.39,1.87,8,medium,10,strict_ban
29.44,17.4,8,high,10,actively_encouraged
40.0,7.57,9,high,10,strict_ban
34.03,10.31,7,high,10,strict_ban
32.5,7.44,10,high,10,strict_ban
4.15,10.28,3,medium,10,allowed_with_citation
14.11,8.22,7,high,10,strict_ban
21.59,11.58,6,high,10,strict_ban
40.0,4.92,8,high,10,allowed_with_citation
18.59,13.77,6,high,10,strict_ban
18.13,6.44,5,medium,10,actively_encouraged
10.4,13.63,4,medium,10,strict_ban
22.81,4.67,8,high,10,strict_ban
26.4,10.1,6,high,10,strict_ban
40.0,8.87,10,high,10,strict_ban
17.5,3.22,4,medium,10,actively_encouraged
26.45,22.61,8,high,10,allowed_with_citation
40.0,20.14,9,high,10,strict_ban
25.54,13.61,7,high,10,allowed_with_citation
19.32,14.08,7,high,10,strict_ban
18.04,14.88,5,low,10,allowed_with_citation
3.21,16.74,3,medium,10,actively_encouraged
24.92,11.07,8,high,10,allowed_with_citation
40.0,3.68,10,high,10,strict_ban
40.0,8.16,10,high,10,strict_ban
12.03,10.31,4,medium,10,strict_ban
24.12,5.55,7,high,10,strict_ban
39.72,3.67,8,high,10,strict_ban
40.0,9.45,8,high,10,strict_ban
13.78,10.43,5,medium,10,strict_ban
25.85,9.11,8,high,10,strict_ban
13.73,12.24,5,medium,10,actively_encouraged
30.23,4.66,6,medium,10,strict_ban
22.87,9.36,8,high,10,strict_ban
3.39,1.54,3,medium,10,allowed_with_citation
18.62,7.39,6,high,10,strict_ban
28.61,14.57,6,high,10,strict_ban
1.08,10.21,5,medium,10,actively_encouraged
24.69,5.84,8,high,10,strict_ban
25.46,11.72,6,low,10,allowed_with_citation
15.55,14.01,5,high,10,strict_ban
10.49,3.15,6,high,10,strict_ban
21.97,9.12,6,high,10,strict_ban
23.05,1.7,6,high,10,actively_encouraged
33.53,17.85,7,high,10,allowed_with_citation
18.65,2.42,7,high,10,strict_ban
36.12,3.32,9,high,10,strict_ban
40.0,10.78,10,high,10,strict_ban
27.52,16.11,5,high,10,strict_ban
20.56,15.23,4,medium,10,strict_ban
40.0,7.33,10,high,10,strict_ban
5.52,12.86,5,medium,10,allowed_with_citation
7.76,5.35,6,medium,10,actively_encouraged
40.0,6.18,10,high,10,strict_ban
14.14,9.54,4,high,10,strict_ban
15.44,10.8,6,medium,10,strict_ban
39.42,3.02,9,medium,10,allowed_with_citation
11.72,19.14,6,medium,10,strict_ban
20.3,11.79,6,high,10,strict_ban
17.74,10.6,7,high,10,strict_ban
24.31,3.55,5,medium,10,strict_ban
33.22,6.43,9,high,10,allowed_with_citation
18.79,8.97,7,high,10,strict_ban
33.73,10.81,6,high,10,strict_ban
36.1,3.82,6,high,10,actively_encouraged
30.95,15.55,6,high,10,strict_ban
39.02,10.11,10,high,10,strict_ban
18.42,11.51,6,medium,10,strict_ban
13.69,5.92,3,high,10,strict_ban
6.44,5.25,4,low,10,actively_encouraged
19.06,20.17,5,high,10,strict_ban
1.4,6.66,5,low,10,allowed_with_citation
40.0,3.75,10,high,10,allowed_with_citation
19.01,13.3,7,high,10,allowed_with_citation
40.0,3.81,10,high,10,allowed_with_citation
36.19,14.05,10,high,10,allowed_with_citation
28.24,7.93,6,high,10,strict_ban
34.13,5.6,6,high,10,allowed_with_citation
10.57,2.94,5,high,10,actively_encouraged
26.21,12.64,7,high,10,strict_ban
24.51,7.07,7,high,10,strict_ban
27.42,12.8,6,high,10,strict_ban
21.02,5.91,6,medium,10,actively_encouraged
22.79,1.0,4,high,10,strict_ban
37.66,10.43,9,high,10,strict_ban
33.61,11.18,6,medium,10,strict_ban
25.64,4.62,5,high,10,strict_ban
5.97,9.98,6,medium,10,allowed_with_citation
25.59,6.65,7,high,10,strict_ban
8.24,8.95,5,high,10,actively_encouraged
27.08,7.08,6,medium,10,allowed_with_citation
34.16,14.05,7,high,10,strict_ban
4.73,15.89,4,low,10,actively_encouraged
20.72,13.55,5,high,10,strict_ban
33.98,6.39,6,high,10,strict_ban
23.0,5.32,7,high,10,strict_ban
30.7,5.83,7,high,10,strict_ban
22.82,15.11,5,high,10,strict_ban
6.68,7.52,4,low,9,allowed_with_citation
10.15,7.26,5,medium,9,allowed_with_citation
20.17,15.79,7,medium,9,actively_encouraged
5.66,6.69,4,medium,9,strict_ban
0.56,21.5,4,medium,9,actively_encouraged
3.02,7.76,3,medium,9,allowed_with_citation
1.49,18.95,3,medium,9,allowed_with_citation
12.6,12.41,3,high,9,strict_ban
1.55,14.5,2,low,9,actively_encouraged
13.37,10.42,6,low,9,actively_encouraged
13.05,21.15,4,high,9,strict_ban
7.47,14.47,4,low,9,actively_encouraged
28.99,1.0,7,high,9,allowed_with_citation
2.94,12.87,4,medium,9,allowed_with_citation
12.59,9.26,6,high,9,strict_ban
28.58,10.17,9,high,9,strict_ban
9.98,4.65,4,medium,9,allowed_with_citation
14.1,12.96,5,medium,9,allowed_with_citation
0.51,18.15,4,low,9,actively_encouraged
18.53,9.13,5,medium,9,actively_encouraged
19.49,17.27,3,medium,9,strict_ban
20.24,8.45,7,high,9,strict_ban
11.02,6.06,5,medium,9,allowed_with_citation
27.26,9.91,8,high,9,strict_ban
2.5,6.5,3,low,9,actively_encouraged
40.0,6.35,7,high,9,strict_ban
11.67,1.0,5,medium,9,allowed_with_citation
3.06,20.03,1,medium,9,strict_ban
22.74,12.74,4,high,9,strict_ban
18.02,10.64,7,high,9,strict_ban
0.27,12.81,5,medium,9,actively_encouraged
7.52,2.47,5,medium,9,allowed_with_citation
0.66,4.71,5,high,9,allowed_with_citation
25.92,1.0,5,medium,9,allowed_with_citation
26.05,10.82,4,high,9,strict_ban
1.98,8.31,5,low,9,allowed_with_citation
